Statistic,Count
Total Unique Packages,143
Total Unique APIs,290
--- Package List ---,---
29.2,
30.9 [time.hms],
<algorithm>,
<charconv>,
<future>,
<numeric>,
<ranges>,
<type_traits>,
<valarray>,
Annex Clause Annex D [depr],
Bind,
Boost,
Boost Basic Linear Algebra Library,
Boost C++ Libraries,
Boost Interval Arithmetic Library,
Boost Utility,
Boost Utility Library,
Boost.Bloom,
Boost.Compat,
Boost.ContainerHash,
Boost.Coroutine,
Boost.Describe,
Boost.Foreach,
Boost.Function,
Boost.Functional,
Boost.IO,
Boost.Integer,
Boost.Iterator,
Boost.Lexical_Cast,
Boost.Optional,
Boost.Parser,
Boost.Phoenix,
Boost.QVM,
Boost.Regex,
Boost.ScopeExit,
Boost.SmartPtr,
Boost.StaticAssert,
Boost.StlInterfaces,
Boost.System,
Boost.ThrowException,
Boost.Tokenizer,
Boost.Utility,
C++ Standard (WG21 committee updates),
C++ Standard Library,
C++ Standard Library (concept.totallyordered),
Filesystem (fs),
LWG - Library Working Group,
Meta Types,
N/A (Standard C++ Library concept),
N/A (Standard C++ library),
N/A (Standard Library - part of C++),
Qt 3D,
Qt 3D Input,
Qt Charts,
Qt Core,
Qt HTTP Server,
Qt Network Authorization,
Qt Print Support,
Qt Widgets,
Qt Widgets Designer,
Qt.Network,
Qt3D,
Qt3DAnimation,
Qt3DCore,
Qt3DExtras,
Qt3DInput,
Qt3DRender,
Standard C++,
Standard C++ Library,
Standard Library,
Standard Library (C++),
Standard Library (Concepts),
Standard Library (STL),
Standard Library (std),
Standard Library (time.parse),
Standard Template Library (STL),
WG21 C++ Standard,
WG21 C++ standard library,
WG21 CWG,
WG21 CWG (C++ Evolution Working Group),
WG21 CWG - C++ Standard,
WG21 CWG Issue 2059,
WG21 CWG Issues,
WG21 CWG Issues (C++ Standard),
[alg.partitions] (Standard C++ Library),
[fpos.operations],
[meta.trans.other],
[util.smartptr.shared.cast] (section 20.3.2.2.10 in the C++ standard),
algorithms.parallel.overloads,
boost,
boost.utility,
boost/uuid,
boost::endian,
chrono,
cmath,
concepts,
container.requirements.general,
default.allocator,
depr.util.smartptr.shared.atomic,
filesystem,
"forward_list, list",
iostream,
iterator.concept,
mem.poly.allocator.mem,
org.opencv.aruco,
org.opencv.core,
org.opencv.dnn,
org.opencv.face,
org.opencv.features2d,
org.opencv.imgproc,
org.opencv.objdetect,
org.opencv.text,
org.opencv.utils,
org.opencv.video,
org.opencv.xfeatures2d,
range.refinements,
ranges.syn,
span,
specialized.algorithms,
stack and queue adaptors,
standard library,
standard library (C++ specification),
std::allocator,
std::allocator (includes scoped_allocator_adaptor and polymorphic_allocator),
std::allocator_traits,
std::basic_string,
std::chrono,
std::experimental,
std::filesystem,
std::ranges,
std::shared_ptr creation utilities,
std::span,
std::string (C++ standard library),
stop_token,
strstream,
support.limits.general,
support.runtime,
temp.deduct.guide,
template function specialization,
time,
type_traits,
"type_traits, functional",
utility,
--- Change Type Counts ---,---
Change Type: API Deprecation,122
Change Type: Behavior Change,120
Change Type: API Removal,20
Change Type: Parameter Change,9
Change Type: Performance Optimization,6
Change Type: API Replacement,3
Change Type: API Addition,2
Change Type: Replacement Recommendation,1
Change Type: API Modernization,1
Change Type: API Enhancement,1
Change Type: API Introduction,1
Change Type: New Feature,1
Change Type: API Optimization,1
Change Type: API Rename,1
