original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
9,https://doc.qt.io/qt-6/qabstractstate.html,2025-11-03 16:47:11,success,,QAbstractState,Qt State Machine Framework,C++,,,,,,https://doc.qt.io/qt-6/qabstractstate.html
4,https://doc.qt.io/qt-6/qnativeinterface-qandroidoffscreensurface.html,2025-11-03 16:47:11,success,,QNativeInterface::QAndroidOffscreenSurface,Qt GUI,C++,,,,,,https://doc.qt.io/qt-6/qnativeinterface-qandroidoffscreensurface.html
6,https://doc.qt.io/qt-6/qabstractspinbox.html,2025-11-03 16:47:11,success,,QAbstractSpinBox,Qt Widgets,C++,,,,,,https://doc.qt.io/qt-6/qabstractspinbox.html
8,https://doc.qt.io/qt-6/qabstract3daxis-qtdatavis.html,2025-11-03 16:47:11,success,,QAbstract3DAxis,Qt Data Visualization,C++,,,,,,https://doc.qt.io/qt-6/qabstract3daxis.html
7,https://doc.qt.io/qt-6/qandroidparcel.html,2025-11-03 16:47:11,success,,QAndroidParcel,Qt Core,C++,,,,,,https://doc.qt.io/qt-6/qandroidparcel.html
2,https://doc.qt.io/qt-6/qtprotobuf-any.html,2025-11-03 16:47:11,success,,QtProtobuf::Any,QtProtobuf,C++,,,,,,https://doc.qt.io/qt-6/qtprotobuf-any.html
3,https://doc.qt.io/qt-6/qabstractsocket.html,2025-11-03 16:47:11,success,,QAbstractSocket,Qt.Network,C++,6.10.0,,,Behavior Change,"Improvements and refinements to the socket handling, including enhanced behavior for specific operations such as `bind`, error handling, and better cross-platform support.",https://www.qt.io
5,https://doc.qt.io/qt-6/qscxmlexecutablecontent-assignmentinfo.html,2025-11-03 16:47:11,success,,QScxmlExecutableContent::AssignmentInfo,Qt SCXML,C++,,,,,,https://doc.qt.io/qt-6/qscxmlexecutablecontent-assignmentinfo.html
10,https://doc.qt.io/qt-6/qnativeinterface-qandroidscreen.html,2025-11-03 16:47:20,success,,QNativeInterface::QAndroidScreen,Qt GUI,C++,,,,,,https://doc.qt.io/qt-6/qnativeinterface-qandroidscreen.html
13,https://doc.qt.io/qt-6/qandroidservice.html,2025-11-03 16:47:21,success,,QAndroidService,Qt Core (private),C++,,,,,,https://doc.qt.io/qt-6/qandroidservice.html
