original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
34,https://www.boost.org/library/latest/coroutine2/,2025-11-03 16:32:14,success,,boost.coroutine2,Boost,C++,1.59.0,,boost.coroutine2,API Deprecation,boost.coroutine2 was introduced as the successor of boost.coroutine to provide support for C++11 and offer enhanced coroutine functionality. The older boost.coroutine was deprecated due to lack of modern language support and maintenance.,https://www.boost.org/doc/libs/latest/libs/coroutine2/index.html
33,https://www.boost.org/library/latest/coroutine/,2025-11-03 16:32:13,success,,boost.coroutine,Boost.Coroutine,C++,1.53.0,,boost.coroutine2,API Deprecation,"boost.coroutine is deprecated, and boost.coroutine2 is its successor. The upgrade ensures compatibility with modern C++ standards, as boost.coroutine is meant for pre-C++11 use cases.",https://www.boost.org/doc/libs/latest/libs/coroutine/index.html
36,https://www.boost.org/library/latest/date_time/,2025-11-03 16:32:16,success,,Boost.DateTime,Boost C++ Libraries,C++,,1.89.0,Header-only implementation,API Removal,The built library is now considered legacy for backward compatibility and contains no symbols. The API has transitioned to a header-only implementation to simplify usage and improve maintainability.,https://www.boost.org/doc/libs/latest/libs/date_time/index.html
47,https://www.boost.org/library/latest/foreach/,2025-11-03 16:32:24,success,,BOOST_FOREACH,Boost.Foreach,C++,,,std::for_each(),Behavior Change,BOOST_FOREACH provides a more concise and readable loop construct compared to using traditional iterators or std::for_each() for iterating over sequences. The change was introduced to simplify the process of writing loops in C++ and to improve code readability.,www.boost.org/doc/libs/latest/libs/foreach/index.html
49,https://www.boost.org/library/latest/function/,2025-11-03 16:32:28,success,,boost::function,Boost.Function,C++,1.23.0,,std::function,API Deprecation,"boost::function was replaced by std::function as it was accepted into the C++11 standard, providing more modern and standardized functionality.",https://www.boost.org/doc/libs/latest/libs/function/index.html
83,https://www.boost.org/library/latest/log/,2025-11-03 16:32:55,success,,Boost.Log,Boost C++ Libraries,C++,,1.89.0,,API Removal,"The 'Random' dependency was removed from Boost.Log in version 1.89.0, likely due to performance or architectural improvements.",www.boost.org/doc/libs/latest/libs/log/index.html
97,https://www.boost.org/library/latest/mysql/,2025-11-03 16:33:06,success,,Boost.MySQL,Boost,C++,1.85.0,,,API Deprecation,"Boost.MySQL started requiring linking with Boost.Charconv, which is a compiled library. This was introduced to resolve linking issues and improve integration with other Boost libraries.",https://www.boost.org/doc/libs/latest/libs/mysql/index.html
98,https://www.boost.org/library/latest/nowide/,2025-11-03 16:33:07,success,,Boost.Nowide,Boost,C++,1.73.0,,,,,https://www.boost.org/doc/libs/latest/libs/nowide/index.html
130,https://www.boost.org/library/latest/utilityresult_of/,2025-11-03 16:33:38,success,,Boost.ResultOf,Boost.Utility,C++,1.73.0,1.75.0,std::invoke_result,API Deprecation,"Boost.ResultOf was deprecated due to the availability of the C++11 standard library feature `std::invoke_result`, which provides similar functionality and ensures compatibility with modern C++ standards.",www.boost.org/doc/libs/latest/libs/utility/doc/html/utility/utilities/result_of.html
141,https://www.boost.org/library/latest/static_assert/,2025-11-03 16:33:48,success,,Boost.StaticAssert,Boost,C++,,,C++ native static_assert,API Deprecation,"Boost.StaticAssert was deprecated due to the introduction of the native `static_assert` feature in modern C++ standards, making the library less vital for current and future compilers.",https://www.boost.org/doc/libs/latest/libs/static_assert/index.html
143,https://www.boost.org/library/latest/stl_interfaces/,2025-11-03 16:33:51,success,,iterator_interface,Boost.StlInterfaces,C++,Boost 1.74.0,,iterator_interface (updated C++20-friendly version),API Deprecation,"Boost.Iterator's iterator_facade and iterator_adaptor were updated to align with modern C++ standards and concepts, providing a cleaner and more maintainable approach to creating iterators.",https://www.boost.org/doc/libs/latest/libs/stl_interfaces/index.html
