original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
2,https://docs.opencv.org/4.x/javadoc/org/opencv/aruco/package-summary.html,2025-10-27 19:30:35,success,,EstimateParameters,org.opencv.aruco,Java,4.13.0,,Board::matchImagePoints and cv::solvePnP,API Deprecation,The functionality provided by `EstimateParameters` has been integrated into more general-purpose methods (`Board::matchImagePoints` and `cv::solvePnP`) to improve flexibility and reduce redundancy.,https://docs.opencv.org/4.13.0/java/org/opencv/aruco/package-summary.html
43,https://docs.opencv.org/4.x/javadoc/org/opencv/core/CvType.html,2025-10-27 19:31:03,success,,CvType,org.opencv.core,Java,4.13.0,,CV_16F,API Deprecation,The CV_USRTYPE1 field was deprecated to streamline API usage and point developers to CV_16F as a better alternative.,https://docs.opencv.org/4.13.0/javadoc/org/opencv/core/CvType.html
79,https://docs.opencv.org/4.x/javadoc/org/opencv/dnn/Dnn.html,2025-10-27 19:31:51,success,,getInferenceEngineBackendType,org.opencv.dnn,Java,4.6.0,,,API Deprecation,Inference Engine internal backend API runtime parameter OPENCV_DNN_BACKEND_INFERENCE_ENGINE_TYPE was made unused since version 4.6.0. Maintainers moved away from using it to simplify internal operations and promote other backend options.,https://docs.opencv.org/4.13.0/
82,https://docs.opencv.org/4.x/javadoc/org/opencv/dnn/Layer.html,2025-10-27 19:31:56,success,,Layer.run,org.opencv.dnn,Java,4.13.0,Future release,,API Deprecation,This method allocates a layer and computes outputs but has been deprecated and marked for removal in a future release to improve the API's usability and to streamline functionality.,https://docs.opencv.org/4.13.0/ (OpenCV 4.13.0 Java documentation)
41,https://docs.opencv.org/4.x/javadoc/org/opencv/core/Core.html,2025-10-27 19:31:02,success,,Core.convertFp16,org.opencv.core,Java,4.13.0,,Mat::convertTo with CV_16F,API Deprecation,The API was deprecated in favor of using `Mat::convertTo` with a more appropriate and scalable implementation.,https://docs.opencv.org/4.13.0/javadoc/org/opencv/core/Core.html
84,https://docs.opencv.org/4.x/javadoc/org/opencv/dnn/Net.html,2025-10-27 19:31:59,success,,org.opencv.dnn.Net.getLayer(java.lang.String layerName),org.opencv.dnn,Java,4.13.0,,int getLayerId(String layer),API Deprecation,The method `getLayer(java.lang.String layerName)` using a string argument to retrieve a layer by its name was replaced with `getLayerId(String layer)` for better performance and to standardize the API to use integer-based identifiers.,https://docs.opencv.org/4.13.0/java/org/opencv/dnn/Net.html
95,https://docs.opencv.org/4.x/javadoc/org/opencv/face/Face.html,2025-10-27 19:32:11,success,,getFacesHAAR,org.opencv.face,Java,,,Facemark::getFaces,API Deprecation,"End users are advised to use Facemark::getFaces for more manual and customizable face detection, circumventing the hard-coded approach in getFacesHAAR.",https://docs.opencv.org/4.13.0/java/org/opencv/face/Face.html#getFacesHAAR-Mat-Mat-java.lang.String-
110,https://docs.opencv.org/4.x/javadoc/org/opencv/features2d/BFMatcher.html,2025-10-27 19:32:27,success,,BFMatcher,org.opencv.features2d,Java,OpenCV 4.13.0,,BFMatcher.create(),API Deprecation,The constructors for BFMatcher were deprecated in favor of factory methods to streamline the API design and enforce better usage practices. Factory methods like `BFMatcher.create()` are preferred for initialization because they provide a flexible and consistent interface.,https://docs.opencv.org/4.13.0/
145,https://docs.opencv.org/4.x/javadoc/org/opencv/imgproc/LineSegmentDetector.html,2025-10-27 19:33:04,success,,LineSegmentDetector,org.opencv.imgproc,Java,3.4.6,3.4.15 (also removed in 4.1.0 to 4.5.3),,API Removal,Original code license conflict. The implementation was removed but restored after the publication of the 'Computation of a NFA' code under the MIT license.,https://github.com/rafael-grompone-von-gioi/binomial_nfa
167,https://docs.opencv.org/4.x/javadoc/org/opencv/objdetect/CharucoBoard.html,2025-10-27 19:33:28,success,,CharucoBoard,org.opencv.objdetect,Java,4.6.0,,,Parameter Change,The `setLegacyPattern` method introduced legacy chessboard patterns for compatibility with patterns created in OpenCV versions prior to 4.6.0. It addresses the issue discussed in https://github.com/opencv/opencv/issues/23152.,https://github.com/opencv/opencv/issues/23152
168,https://docs.opencv.org/4.x/javadoc/org/opencv/objdetect/CharucoDetector.html,2025-10-27 19:33:31,success,,CharucoDetector,org.opencv.objdetect,Java,4.6.0,,CharucoBoard::setLegacyPattern,Behavior Change,Incompatible change in ChArUco pattern generation algorithm for even row counts after OpenCV 4.6.0.,https://github.com/opencv/opencv/issues/23152
218,https://docs.opencv.org/4.x/javadoc/org/opencv/text/Text.html,2025-10-27 19:34:34,success,,loadOCRHMMClassifierNM,org.opencv.text,Java,4.13.0,,loadOCRHMMClassifier,API Deprecation,This method was deprecated in favor of the `loadOCRHMMClassifier` due to improved functionality and support for additional classifier types.,https://docs.opencv.org/4.13.0
219,https://docs.opencv.org/4.x/javadoc/org/opencv/text/TextDetector.html,2025-10-27 19:34:36,success,,TextDetector,org.opencv.text,Java,,,TextDetectorCNN,API Deprecation,"The TextDetector class was deprecated in favor of TextDetectorCNN, which offers better performance and enhanced capabilities for text detection tasks.",https://docs.opencv.org/4.x/javadoc/org/opencv/text/TextDetector.html
235,https://docs.opencv.org/4.x/javadoc/org/opencv/utils/Converters.html,2025-10-27 19:34:53,success,,Converters,org.opencv.utils,Java,4.13.0,,,API Deprecation,The Converters class consolidates methods for converting between Mat and Java collection types efficiently. No alternative API is mentioned in the documentation.,https://docs.opencv.org/4.13.0/javadoc/org/opencv/utils/Converters.html
240,https://docs.opencv.org/4.x/javadoc/org/opencv/video/DISOpticalFlow.html,2025-10-27 19:34:59,success,,DISOpticalFlow,org.opencv.video,Java,,,DeepFlow,Replacement Recommendation,"DeepFlow offers better optical flow quality but is slower, aligning with use cases prioritizing accuracy over speed.",https://docs.opencv.org/4.13/javadoc/org/opencv/video/DISOpticalFlow.html
278,https://docs.opencv.org/4.x/javadoc/org/opencv/xfeatures2d/SURF_CUDA.html,2025-10-27 19:35:51,success,,SURF_CUDA,org.opencv.xfeatures2d,Java,,,SURF,API Deprecation,"No explicit reason provided in the documentation, but likely superseded or streamlined for usage with newer OpenCV APIs.",https://docs.opencv.org/4.13.0/
