original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
7,https://pkg.go.dev/bufio@go1.25.3#Reader,2025-10-21 19:16:51,success,,bufio.Reader.Discard,bufio,Go,go1.11,,,API Deprecation,Improved memory management and clearer usage with newer APIs like bufio.Reader.Reset.,https://pkg.go.dev/bufio#Reader
4,https://pkg.go.dev/bufio@go1.25.3#ScanRunes,2025-10-21 19:16:51,success,,bufio.Scanner.Err,bufio,Go,go1.1,,,API Addition,"Introduced to provide error handling during scanning operations, facilitating the detection of the first non-EOF error.",https://pkg.go.dev/bufio#Scanner.Err
8,https://pkg.go.dev/bufio@go1.25.3#NewReadWriter,2025-10-21 19:16:51,success,,BufferedReader.Discard,bufio,Go,go1.6,,,API Addition,To enable the efficient skipping of bytes without reading from the underlying `io.Reader`.,https://cs.opensource.google/go/go
2,https://pkg.go.dev/bufio@go1.25.3#ScanBytes,2025-10-21 19:16:51,success,,bufio.Reader.Discard,bufio,Go,go1.12,,,Behavior Change,Improved behavior for skipping bytes by avoiding unnecessary reads from the underlying reader when possible.,https://go.dev/doc/go1.12
6,https://pkg.go.dev/bufio@go1.25.3#ReadWriter,2025-10-21 19:16:51,success,,Reader.ReadLine,bufio,Go,,,Reader.ReadBytes or Reader.ReadString,API Deprecation,"ReadLine is considered a low-level line-reading primitive, and its usage may not be optimal. Developers are encouraged to use higher-level alternatives such as `Reader.ReadBytes` or `Reader.ReadString`, or leverage a `Scanner` for more convenient and robust tokenization.",https://pkg.go.dev/bufio#Reader.ReadLine
10,https://pkg.go.dev/bufio@go1.25.3#NewReaderSize,2025-10-21 19:16:59,success,,ScanBytes,bufio,Go,go1.25.3,,,API Removal,"The API is not included in the latest version of its module, and modern alternatives may exist to achieve the same functionality.",https://cs.opensource.google/go/go
11,https://pkg.go.dev/bufio@go1.25.3#Reader.Buffered,2025-10-21 19:16:59,success,,BufferedReader.Discard,bufio,Go,go1.5,,,API Addition,Enhancing the bufio package to enable skipping bytes efficiently without reading them.,https://pkg.go.dev/bufio#Reader.Discard
16,https://pkg.go.dev/bufio@go1.25.3#Reader.ReadBytes,2025-10-21 19:17:01,success,,Scanner,bufio,Go,go1.10,,,Behavior Change,Improvement in memory allocation for large tokens during scanning operations.,https://pkg.go.dev/bufio#Scanner
17,https://pkg.go.dev/bufio@go1.25.3#Reader.ReadLine,2025-10-21 19:17:02,success,,ScanBytes,bufio,Go,go1.11,,Scanner.Bytes,API Deprecation,Improved functionality and better memory handling available through Scanner.Bytes.,https://cs.opensource.google/go/go
18,https://pkg.go.dev/bufio@go1.25.3#Reader.ReadRune,2025-10-21 19:17:07,success,,Bufio Scanner,bufio,Go,go1.6,,,Performance Optimization,"Buffer memory allocation was optimized in go1.6 by introducing the `Scanner.Buffer()` method, allowing users more control over buffer size to improve scanning efficiency.",https://pkg.go.dev/bufio
21,https://pkg.go.dev/bufio@go1.25.3#Reader.Reset,2025-10-21 19:17:08,success,,ScanBytes,bufio,Go,go1.11,,,Behavior Change,Modification of data handling to ensure proper split functionality when processing individual bytes and prevent ambiguity with erroneous encoding.,https://pkg.go.dev/bufio#ScanBytes
25,https://pkg.go.dev/bufio@go1.25.3#Reader.WriteTo,2025-10-21 19:17:10,success,,bufio.Scanner.Scan,bufio,Go,go1.31,,bufio.Reader,API Deprecation,"Scanner's limitations in handling large tokens prompted the use of bufio.Reader, which offers better error handling and flexibility.",https://go.dev/doc/
26,https://pkg.go.dev/bufio@go1.25.3#example-Scanner-Custom,2025-10-21 19:17:14,success,,bufio.ScanBytes,bufio,Go,go1.25.3,,,API Deprecation,This package is not available in the latest version of its module. It is possibly deprecated as newer alternatives might exist.,https://pkg.go.dev/bufio
27,https://pkg.go.dev/bufio@go1.25.3#example-Scanner-EarlyStop,2025-10-21 19:17:15,success,,ScanBytes,bufio,Go,go1.20,,ScanRunes,API Deprecation,ScanBytes was deprecated in favor of ScanRunes due to better handling of UTF-8 encoded data and improved usage for tokenization.,https://pkg.go.dev/bufio
28,https://pkg.go.dev/bufio@go1.25.3#example-Scanner-EmptyFinalToken,2025-10-21 19:17:15,success,,ScanBytes,bufio,Go,go1.25.0,,,API Deprecation,ScanBytes is less commonly used and does not align with typical use cases for splitting data.,https://pkg.go.dev/bufio
30,https://pkg.go.dev/bufio@go1.25.3#example-Scanner-Words,2025-10-21 19:17:16,success,,bufio.Scanner.ScanBytes,bufio,Go,go1.25,,,API Deprecation,ScanBytes was deprecated due to limited use cases and the availability of more efficient alternatives for byte-level parsing.,https://pkg.go.dev/bufio
33,https://pkg.go.dev/bufio@go1.25.3#example-Writer.AvailableBuffer,2025-10-21 19:17:19,success,,bufio.NewScanner,bufio,Go,go1.10,,bufio.Scanner with custom SplitFunc,Behavior Change,"Improved memory management and customizability using SplitFunc, allowing for greater flexibility in tokenization and error handling.",https://pkg.go.dev/bufio#Scanner
35,https://pkg.go.dev/bufio@go1.25.3#example-Writer,2025-10-21 19:17:23,success,,bufio.ScanBytes,bufio,Go,go1.25.3,TBD,bufio.NewScanner with custom split functions,API Deprecation,"ScanBytes was deprecated to encourage the use of customizable split functions with Scanner for more flexibility in token parsing, which allows better support for various input types.",https://golang.org/pkg/bufio/
