Statistic,Count
Total Unique Packages,130
Total Unique APIs,130
--- Package List ---,---
Apache Commons Lang,
com.sun.jdi,
java.lang.management,
java.naming,
java.rmi,
java.security.jgss,
java.util.logging,
javax.security.sasl,
javax.smartcardio,
javax.xml.xpath,
jdk.crypto.ec,
jdk.dynalink,
jdk.editpad,
jdk.incubator.foreign,
jdk.incubator.vector,
jdk.javadoc,
jdk.jdeps,
jdk.jpackage,
jdk.jstatd,
netscape.javascript,
org.apache.commons.lang3,
org.apache.commons.lang3.concurrent,
org.apache.commons.lang3.stream,
org.apache.commons.lang3.text,
org.apache.commons.lang3.text.translate,
org.apache.commons.logging,
org.apache.commons.logging.impl,
org.hibernate,
org.hibernate.annotations,
org.hibernate.boot,
org.hibernate.boot.model,
org.hibernate.boot.model.internal,
org.hibernate.boot.model.naming,
org.hibernate.boot.spi,
org.hibernate.bytecode.enhance.spi,
org.hibernate.cache,
org.hibernate.classic,
org.hibernate.dialect,
org.hibernate.dialect.function,
org.hibernate.dialect.identity,
org.hibernate.dialect.sequence,
org.hibernate.dialect.unique,
org.hibernate.engine.jdbc,
org.hibernate.engine.profile,
org.hibernate.engine.spi,
org.hibernate.envers.boot.internal,
org.hibernate.envers.strategy,
org.hibernate.event.spi,
org.hibernate.generator.internal,
org.hibernate.id,
org.hibernate.id.factory,
org.hibernate.id.insert,
org.hibernate.internal,
org.hibernate.internal.log,
org.hibernate.internal.util,
org.hibernate.internal.util.securitymanager,
org.hibernate.jdbc,
org.hibernate.jpa,
org.hibernate.jpa.boot.spi,
org.hibernate.jpa.spi,
org.hibernate.jpamodelgen,
org.hibernate.loader,
org.hibernate.mapping,
org.hibernate.metadata,
org.hibernate.metamodel.model.domain,
org.hibernate.metamodel.spi,
org.hibernate.persister.collection,
org.hibernate.persister.spi,
org.hibernate.query.criteria.spi,
org.hibernate.query.sqm,
org.hibernate.query.sqm.function,
org.hibernate.resource.jdbc.spi,
org.hibernate.spatial.dialect.cockroachdb,
org.hibernate.spatial.dialect.mysql,
org.hibernate.spatial.dialect.oracle,
org.hibernate.spatial.dialect.postgis,
org.hibernate.spatial.dialect.sqlserver,
org.hibernate.spatial.predicate,
org.hibernate.spi,
org.hibernate.sql.ast.tree.insert,
org.hibernate.testing,
org.hibernate.testing.jdbc,
org.hibernate.usertype,
org.springframework.aot.agent,
org.springframework.beans.factory.config,
org.springframework.beans.factory.support,
org.springframework.cache.annotation,
org.springframework.cache.jcache.config,
org.springframework.cglib.core,
org.springframework.context,
org.springframework.context.i18n,
org.springframework.context.index,
org.springframework.context.index.processor,
org.springframework.core,
org.springframework.core.env,
org.springframework.core.task,
org.springframework.dao,
org.springframework.format.datetime.standard,
org.springframework.http.client,
org.springframework.http.client.reactive,
org.springframework.jdbc.core.support,
org.springframework.jdbc.support,
org.springframework.jdbc.support.lob,
org.springframework.jdbc.support.xml,
org.springframework.messaging.handler.invocation,
org.springframework.orm.hibernate5,
org.springframework.r2dbc.core,
org.springframework.scheduling.annotation,
org.springframework.scheduling.config,
org.springframework.test.util,
org.springframework.transaction.config,
org.springframework.transaction.support,
org.springframework.ui.context,
org.springframework.ui.context.support,
org.springframework.util,
org.springframework.util.comparator,
org.springframework.web.accept,
org.springframework.web.client.support,
org.springframework.web.filter.reactive,
org.springframework.web.reactive.function.client,
org.springframework.web.reactive.resource,
org.springframework.web.service.invoker,
org.springframework.web.servlet,
org.springframework.web.servlet.mvc,
org.springframework.web.servlet.tags,
org.springframework.web.servlet.theme,
org.springframework.web.servlet.view,
org.springframework.web.socket.sockjs.transport,
org.springframework.web.util,
org.w3c.dom,
--- Change Type Counts ---,---
Change Type: API Deprecation,106
Change Type: Behavior Change,7
Change Type: API Addition,2
Change Type: API Deprecation,1
Change Type: API Removal,1
Change Type: Performance Optimization,1
