original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
5,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/apache/commons/logging/impl/package-summary.html,2025-10-16 14:00:49,success,,SimpleLog,org.apache.commons.logging.impl,Java,Spring Framework 6.2.11,,NoOpLog,API Deprecation,"SimpleLog within spring-jcl is no longer functional and is effectively equivalent to NoOpLog. This decision was made likely for simplifying the Commons Logging implementation and improving compatibility with multiple logging implementations such as Log4J 2, SLF4J, and java.util.logging.",https://docs.spring.io/spring-framework/docs/6.2.11
4,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/apache/commons/logging/package-summary.html,2025-10-16 14:00:49,success,,LogFactoryService,org.apache.commons.logging,Java,6.2.11,,LogFactory,API Deprecation,"This API was only intended for use in a fallback scenario, and its usage is now deprecated in favor of better alternatives such as LogFactory.",https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/apache/commons/logging/package-summary.html
22,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/aot/agent/package-summary.html,2025-10-16 14:01:01,success,,InstrumentedBridgeMethods,org.springframework.aot.agent,Java,6.2.11,,,API Deprecation,This class is intended for use exclusively by the runtime-hints agent during bytecode instrumentation and is not meant to be part of the public API.,https://docs.spring.io/spring-framework/docs/6.2.11/api/org/springframework/aot/agent/package-summary.html
37,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/beans/factory/config/package-summary.html,2025-10-16 14:01:10,success,,PropertyPlaceholderConfigurer,org.springframework.beans.factory.config,Java,5.2,,org.springframework.context.support.PropertySourcesPlaceholderConfigurer,API Deprecation,The newer 'PropertySourcesPlaceholderConfigurer' is more flexible and takes advantage of the 'Environment' and 'PropertySource' mechanisms introduced in later versions of Spring Framework.,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/context/support/PropertySourcesPlaceholderConfigurer.html
41,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/beans/factory/support/package-summary.html,2025-10-16 14:01:12,success,,PropertiesBeanDefinitionReader,org.springframework.beans.factory.support,Java,5.3,,Common bean definition formats or custom reader implementations,API Deprecation,The API has been deprecated in favor of using more modern and widely adopted approaches like Spring's common bean definition formats.,https://docs.spring.io/spring-framework/docs/6.2.11/api/org/springframework/beans/factory/support/package-summary.html
47,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/cache/annotation/package-summary.html,2025-10-16 14:01:16,success,,CachingConfigurerSupport,org.springframework.cache.annotation,Java,6.0,,CachingConfigurer,API Deprecation,Encouragement to directly implement CachingConfigurer for better flexibility and customization.,https://docs.spring.io/spring-framework/docs/6.2.11/javadoc-api/org/springframework/cache/annotation/package-summary.html
54,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/cache/jcache/config/package-summary.html,2025-10-16 14:01:21,success,,JCacheConfigurerSupport,org.springframework.cache.jcache.config,Java,6.0,,JCacheConfigurer,API Deprecation,Streamlining the API to encourage direct implementation of JCacheConfigurer for flexibility and reduced overhead.,https://spring.io/projects/spring-framework (official Spring Framework documentation)
60,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/cglib/core/package-summary.html,2025-10-16 14:01:24,success,,SpringNamingPolicy,org.springframework.cglib.core,Java,6.0,,CGLIB's DefaultNamingPolicy,Behavior Change,SpringSpecific NamingPolicy modified to include a 'SpringCGLIB' tag rather than CGLIB's default naming convention to better align with Spring Framework.,https://docs.spring.io/spring-framework/docs/6.2.11/javadoc-api/org/springframework/cglib/core/SpringNamingPolicy.html
67,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/context/package-summary.html,2025-10-16 14:01:28,success,,ApplicationListener,org.springframework.context,Java,,,EventListener,API Deprecation,Simplified event listener implementation using annotations for improved developer convenience and reduced boilerplate code.,https://docs.spring.io/spring-framework/docs/current/reference/html/core.html#context-functionality
75,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/context/index/package-summary.html,2025-10-16 14:01:34,success,,CandidateComponentsIndex,org.springframework.context.index,Java,6.1,Future version (not specified yet),AOT engine,API Deprecation,Streamlining component indexing in favor of the more performant AOT engine,https://docs.spring.io/spring-framework/docs/6.2.11/javadoc-api/org/springframework/context/index/package-summary.html
74,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/context/i18n/package-summary.html,2025-10-16 14:01:33,success,,LocaleContextHolder,org.springframework.context.i18n,Java,,,LocaleContextThreadLocalAccessor,Behavior Change,To enable compatibility with the Micrometer Context Propagation library,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/context/i18n/LocaleContextHolder.html
76,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/context/index/processor/package-summary.html,2025-10-16 14:01:36,success,,CandidateComponentsIndexer,org.springframework.context.index.processor,Java,6.1,Future version (unspecified in current documentation),AOT engine,API Deprecation,Enhanced capabilities and efficiency provided by the AOT (Ahead-of-Time) engine over the existing API.,https://docs.spring.io/spring-framework/docs/6.2.11/api/
79,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/core/package-summary.html,2025-10-16 14:01:37,success,,Constants,org.springframework.core,Java,6.1,,"enum, map, or similar custom solution",API Deprecation,No longer needed as more robust and extensible solutions such as enums or maps are recommended.,https://docs.spring.io/spring-framework/docs/6.2.11/reference/html/core.html (placeholder - replace with the actual official URL if available)
85,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/core/env/package-summary.html,2025-10-16 14:01:41,success,,JOptCommandLinePropertySource,org.springframework.core.env,Java,6.1,,,API Deprecation,"No plans for a replacement, the API has been deprecated without an alternative.",https://docs.spring.io/spring-framework/docs/6.2.11/api/org/springframework/core/env/package-summary.html
95,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/core/task/package-summary.html,2025-10-16 14:01:46,success,,AsyncListenableTaskExecutor,org.springframework.core.task,Java,6.0,Future version (unspecified),"AsyncTaskExecutor.submitCompletable(Runnable), AsyncTaskExecutor.submitCompletable(Callable)",API Deprecation,Improved API methods were introduced to streamline and enhance usability for asynchronous task execution.,https://docs.spring.io/spring-framework/docs/6.2.11/javadoc-api/org/springframework/core/task/package-summary.html
102,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/dao/package-summary.html,2025-10-16 14:01:52,success,,CannotSerializeTransactionException,org.springframework.dao,Java,6.0.3,,PessimisticLockingFailureException / CannotAcquireLockException,API Deprecation,The CannotSerializeTransactionException was deprecated in favor of PessimisticLockingFailureException or CannotAcquireLockException for better clarity and alignment with core JDBC/ORM support.,https://spring.io/projects/spring-framework
115,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/format/datetime/standard/package-summary.html,2025-10-16 14:02:00,success,,InstantFormatter,org.springframework.format.datetime.standard,Java,Spring Framework 5.3,,,Behavior Change,"Updated to support additional formatting options, including RFC_1123_DATE_TIME format commonly used for HTTP date header values.",https://docs.spring.io/spring-framework/docs/5.3.0/reference/html/core.html#mvc-ann-date-time-format
120,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/http/client/package-summary.html,2025-10-16 14:02:04,success,,OkHttp3ClientHttpRequestFactory,org.springframework.http.client,Java,6.1,7.0,Other ClientHttpRequestFactory implementations,API Deprecation,Scheduled for removal in favor of alternative ClientHttpRequestFactory implementations,https://docs.spring.io/spring-framework/docs/6.2.11/javadoc-api/org/springframework/http/client/OkHttp3ClientHttpRequestFactory.html
122,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/http/client/reactive/package-summary.html,2025-10-16 14:02:05,success,,ReactorResourceFactory,org.springframework.http.client.reactive,Java,6.1,,ReactorResourceFactory (from a different package),API Deprecation,Due to a package change; use ReactorResourceFactory from the new package,https://docs.spring.io/spring-framework/
152,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/jdbc/package-summary.html,2025-10-16 14:02:24,success,,LobRetrievalFailureException,org.springframework.jdbc.support,Java,6.2,,LobHandler,API Deprecation,"Improved functionality and handling provided by LobHandler, making LobRetrievalFailureException obsolete.",https://docs.spring.io/spring-framework/docs/6.2.11/api/org/springframework/jdbc/support/LobRetrievalFailureException.html
158,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/jdbc/core/support/package-summary.html,2025-10-16 14:02:28,success,,AbstractLobCreatingPreparedStatementCallback,org.springframework.jdbc.core.support,Java,6.2,,SqlBinaryValue and SqlCharacterValue,API Deprecation,Promotes use of more modern and versatile SQL value objects for handling binary and character data.,https://docs.spring.io/spring-framework/docs/6.2.11/javadoc-api/org/springframework/jdbc/core/support/AbstractLobCreatingPreparedStatementCallback.html
168,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/jdbc/support/xml/package-summary.html,2025-10-16 14:02:35,success,,Jdbc4SqlXmlHandler,org.springframework.jdbc.support.xml,Java,6.2,,"Direct usage of ResultSet.getSQLXML(int) and Connection.createSQLXML(), possibly combined with a custom SqlValue implementation",API Deprecation,To encourage direct usage of SQLXML handling APIs for better performance and clarity,https://docs.spring.io/spring-framework/docs/6.2.11
166,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/jdbc/support/lob/package-summary.html,2025-10-16 14:02:33,success,,AbstractLobHandler,org.springframework.jdbc.support.lob,Java,6.2,,SqlBinaryValue and SqlCharacterValue,API Deprecation,"Enhanced APIs for handling large object data types (LOBs), providing more specialized and customizable functionality.",https://docs.spring.io/spring-framework/docs/6.2/api/org/springframework/jdbc/support/lob/AbstractLobHandler.html
202,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/messaging/handler/invocation/package-summary.html,2025-10-16 14:02:56,success,,ListenableFutureReturnValueHandler,org.springframework.messaging.handler.invocation,Java,6.0,,CompletableFutureReturnValueHandler,API Deprecation,Simplification and consolidation of async return value handling. `CompletableFuture` and `CompletionStage` provide more comprehensive functionality than `ListenableFuture`.,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/messaging/handler/invocation/ListenableFutureReturnValueHandler.html
228,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/orm/hibernate5/package-summary.html,2025-10-16 14:03:12,success,,org.springframework.orm.hibernate5,org.springframework.orm.hibernate5,Java,,,Hibernate ORM 6.x,Behavior Change,"Migration purpose, as Hibernate ORM 5.x is being replaced by Hibernate ORM 6.x for future compatibility.",https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/orm/hibernate5/package-summary.html
245,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/r2dbc/core/package-summary.html,2025-10-16 14:03:24,success,,Parameter,org.springframework.r2dbc.core,Java,6.0,,io.r2dbc.spi.Parameter,API Deprecation,"The `Parameter` API was deprecated in favor of `io.r2dbc.spi.Parameter`, which likely provides enhanced or preferred functionalities.",https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/r2dbc/core/package-summary.html
248,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/scheduling/annotation/package-summary.html,2025-10-16 14:03:26,success,,AsyncConfigurerSupport,org.springframework.scheduling.annotation,Java,6.0,,AsyncConfigurer,API Deprecation,AsyncConfigurerSupport has been deprecated in favor of directly implementing AsyncConfigurer for better flexibility and adherence to modern coding standards.,https://docs.spring.io/spring-framework/docs/6.2.11/javadoc-api/org/springframework/scheduling/annotation/package-summary.html
251,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/scheduling/config/package-summary.html,2025-10-16 14:03:30,success,,ScheduledTaskRegistrar,org.springframework.scheduling.config,Java,4.1.2,,ContextLifecycleScheduledTaskRegistrar,API Deprecation,Redirects scheduling tasks to lifecycle-aware callback for enhanced flexibility and compatibility with singleton initialization.,https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/scheduling/config/ScheduledTaskRegistrar.html
