original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
3,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.response_class,2025-09-24 18:19:05,success,,open_resource,flask,Python,3.1,,,Parameter Change,To improve text mode file handling and provide support for specifying encodings when opening files.,https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.open_resource
11,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.create_url_adapter,2025-09-24 18:19:17,success,,send_file,flask,Python,,,send_static_file,Parameter Change,"Several enhancements were made to improve consistency and functionality when sending files, such as replacing `attachment_filename` with `download_name` and other interface improvements.",https://flask.palletsprojects.com/en/2.0.x/api/#flask.send_file
36,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.aborter_class,2025-09-24 18:24:27,success,,send_file,flask,Python,0.5,,,Behavior Change,MIME guessing and etag support for file-like objects was removed because it was unreliable. Explicit filename needs to be passed to restore support.,https://flask.palletsprojects.com/en/3.1.x/api/#flask.send_file
51,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.errorhandler,2025-09-24 18:28:36,success,,Flask.run,Flask,Python,0.11,,flask command line script's run support,Behavior Change,Using the Flask.run() function for development automatic reloading is inefficient and not recommended. Developers are encouraged to use the flask CLI tool instead.,https://flask.palletsprojects.com/en/latest/api/#flask.Flask.run
54,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.has_static_folder,2025-09-24 18:29:37,success,,get_send_file_max_age,flask,Python,2.0,,,Behavior Change,The default configuration is changed to `None` to indicate better browser caching behavior using conditional requests rather than timed caching.,https://flask.palletsprojects.com/en/3.1.x/api/
71,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.register_blueprint,2025-09-24 18:32:48,success,,Request.get_json,Flask,Python,2.1,,,Behavior Change,"Starting in version 2.1, the `Request.get_json` method raises a `400 Bad Request` error when the content type is incorrect. This ensures stricter compliance with JSON request standards.",https://flask.palletsprojects.com/en/3.1.x/api/#flask.Request.get_json
65,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.name,2025-09-24 18:31:42,success,,get_send_file_max_age,flask,Python,2.0,,,Behavior Change,"Changed the default configuration to improve cache handling by default, better align with modern web caching practices.",https://flask.palletsprojects.com/en/2.0.x/api/#flask.Flask.get_send_file_max_age
88,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.trap_http_exception,2025-09-24 18:36:56,success,,open_resource,flask,Python,,,open_instance_resource,Behavior Change,Enhanced functionality to allow opening resource files relative to an application's instance folder for greater flexibility.,https://flask.palletsprojects.com/en/3.1.x/api/#flask.open_resource
104,https://flask.palletsprojects.com/en/stable/api/#flask.Flask.template_folder,2025-09-24 18:41:03,success,,get_send_file_max_age,flask,Python,,,Flask.get_send_file_max_age,Behavior Change,The default configuration for max_age was changed from 12 hours to None to encourage more conditional caching.,https://flask.palletsprojects.com/en/3.1.x/api/
116,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.send_static_file,2025-09-24 18:44:08,success,,Flask.make_response,flask,Python,,2.2,current_app.make_response,API Deprecation,The API was moved to `current_app.make_response` to enhance configurability and allow apps to override behavior.,https://flask.palletsprojects.com/en/latest/api/#flask.make_response
121,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.add_url_rule,2025-09-24 18:45:11,success,,app.run,Flask,Python,,,Flask CLI commands (run_command),Behavior Change,"Encourage the use of Flask command-line interface (CLI) for starting applications, which provides better integration and improved workflow.",https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.run
128,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.app_template_test,2025-09-24 18:46:14,success,,Flask.create_url_adapter,flask,Python,1.0,,,Behavior Change,Changed behavior to prevent SERVER_NAME from restricting requests to only the specified domain for subdomain_matching and host_matching.,https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.create_url_adapter
144,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.record,2025-09-24 18:49:24,success,,open_resource,flask,python,,,open_resource (with encoding parameter enhancement),Parameter Change,To allow specifying the encoding when opening resources in text mode for greater flexibility.,https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.open_resource
140,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.make_setup_state,2025-09-24 18:49:21,success,,Flask.make_response,Flask,Python,0.6,,,Behavior Change,To handle cases where view functions do not directly return a response object but additional headers need to be included in the response.,https://flask.palletsprojects.com/en/latest/
157,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.template_folder,2025-09-24 18:51:33,success,,send_file,flask,Python,2.0,,,Parameter Change,Improved clarity and alignment with HTTP standards for parameter naming and response handling.,https://flask.palletsprojects.com/en/latest/api/#flask.Flask.send_file
156,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.import_name,2025-09-24 18:51:32,success,,create_url_adapter,Flask,Python,1.0,,,Behavior Change,"Starting from version 1.0, SERVER_NAME no longer implicitly enables subdomain matching. Developers should explicitly use the subdomain_matching parameter.",https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.create_url_adapter
152,https://flask.palletsprojects.com/en/stable/api/#flask.Blueprint.teardown_app_request,2025-09-24 18:51:29,success,,flask.Flask.run,Flask,Python,,,flask.cli.run_command,Parameter Change,Refactored to encourage the use of the CLI for better flexibility and standardization.,https://flask.palletsprojects.com/en/3.1.x/
171,https://flask.palletsprojects.com/en/stable/api/#flask.Response.access_control_allow_methods,2025-09-24 18:55:39,success,,get_send_file_max_age,flask,Python,2.0,,,Behavior Change,Changed default behavior to improve cache handling by setting the default configuration to None instead of 12 hours.,https://flask.palletsprojects.com/en/2.0.x/api/
185,https://flask.palletsprojects.com/en/stable/api/#flask.Response.content_length,2025-09-24 18:58:46,success,,create_url_adapter,flask,Python,1.0,,,Behavior Change,SERVER_NAME no longer implicitly enables subdomain matching due to concerns about ambiguous behavior. Subdomain matching must now be explicitly enabled with the subdomain_matching parameter.,https://flask.palletsprojects.com/en/3.1.x/api/
190,https://flask.palletsprojects.com/en/stable/api/#flask.Response.content_security_policy_report_only,2025-09-24 18:59:52,success,,open_resource,flask,Python,3.1,,,Parameter Change,"To add support for explicitly specifying the file encoding for text-mode reads, improving interoperability with encoding-sensitive applications.",https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.open_resource
196,https://flask.palletsprojects.com/en/stable/api/#flask.Response.default_status,2025-09-24 19:01:52,success,,create_url_adapter,flask,Python,1.0,,,Behavior Change,SERVER_NAME no longer implicitly enables subdomain matching. Use subdomain_matching instead.,https://flask.palletsprojects.com/en/3.1.x/api/
204,https://flask.palletsprojects.com/en/stable/api/#flask.Response.get_etag,2025-09-24 19:03:56,success,,send_file,flask,Python,,,send_from_directory,Behavior Change,send_file was updated to move some security checks and path validations to Werkzeug. send_from_directory was introduced for safely sending files from directories provided by user input.,https://flask.palletsprojects.com/en/latest/api/
214,https://flask.palletsprojects.com/en/stable/api/#flask.Response.last_modified,2025-09-24 19:06:06,success,,Flask.run,flask,Python,0.1,,Flask CLI run command,API Deprecation,The `Flask.run` method is discouraged for development with automatic reloading and debugging as it is poorly supported. Flask CLI provides better integration and reliability for managing development servers.,https://flask.palletsprojects.com/en/3.1.x/api/#flask.run
212,https://flask.palletsprojects.com/en/stable/api/#flask.Response.iter_encoded,2025-09-24 19:06:02,success,,open_resource,flask,Python,,,open_instance_resource,Parameter Change,The `open_resource` function was updated in version 3.1 to introduce an `encoding` parameter for additional file handling flexibility.,https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.open_resource
221,https://flask.palletsprojects.com/en/stable/api/#flask.Response.set_cookie,2025-09-24 19:07:08,success,,open_resource,flask,Python,3.1,,,Parameter Change,"The `encoding` parameter was added to provide flexibility in text mode file operations, enabling support for different encodings.",https://flask.palletsprojects.com/en/3.1.x/api/#flask.Flask.open_resource
247,https://flask.palletsprojects.com/en/stable/api/#flask.sessions.SessionInterface.save_session,2025-09-24 19:13:18,success,,cli_response_class,flask,Python,2.3,,,API Deprecation,The CLI runner no longer supports passing the parameter `app` to serialize or deserialize JSON data. Parameters must now be exclusively passed within app contexts or removed per direct configuration adjustments.,https://flask.palletsprojects.com/en/3.2.x/api/#cli-runner
