original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
4,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.shape.html,2025-09-25 09:25:43,success,,numpy.ndarray.shape,NumPy,Python,Undetermined,Undetermined,numpy.ndarray.reshape,API Deprecation,Setting `ndarray.shape` in-place is considered error-prone and will fail if a copy is required. `ndarray.reshape` is preferred for reshaping arrays as it avoids ambiguity and creates a copy if needed.,https://numpy.org/doc/2.3/reference/generated/numpy.ndarray.shape.html
12,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.dtype.html,2025-09-25 09:25:48,success,,numpy.ndarray.dtype,numpy,Python,,,"numpy.ndarray.view, numpy.ndarray.astype",API Deprecation,"Setting `ndarray.dtype` directly modifies the data type of an array without changing the underlying memory structure, which can lead to unexpected behavior. Using `ndarray.view` or `ndarray.astype` provides safer alternatives.",https://numpy.org/doc/2.3/reference/generated/numpy.ndarray.dtype.html
5,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.strides.html,2025-09-25 09:25:43,success,,numpy.ndarray.strides,NumPy,Python,,,numpy.lib.stride_tricks.as_strided,API Deprecation,Setting `arr.strides` directly is discouraged due to safety concerns. Using `numpy.lib.stride_tricks.as_strided` is safer and avoids issues with manipulating memory directly.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.strides.html
13,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.T.html,2025-09-25 09:25:49,success,,numpy.ndarray.T,NumPy,Python,,,numpy.ndarray.transpose(),Behavior Change,Clarification of API behavior; `ndarray.T` is functionally equivalent to `transpose()` but may be less explicit for some users. No removal or deprecation is indicated.,https://numpy.org/doc/2.3/
26,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.copy.html,2025-09-25 09:26:00,success,,numpy.ndarray.copy,NumPy,Python,,,numpy.copy,Behavior Change,"This function differs from `numpy.copy` by defaulting to `order='C'` and passing sub-classes through, which allows more flexible handling of array memory layout and subclasses.",https://numpy.org/doc/stable/reference/generated/numpy.ndarray.copy.html
37,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.squeeze.html,2025-09-25 09:26:08,success,,numpy.ndarray.squeeze,NumPy,Python,,,numpy.squeeze,Behavior Change,To provide a more consistent API by transitioning certain operations from methods to functions.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.squeeze.html
40,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.repeat.html,2025-09-25 09:26:11,success,,numpy.ndarray.repeat,numpy,Python,,,numpy.repeat,Behavior Change,Unified documentation suggests referring users to the equivalent function `numpy.repeat` for clarity and to promote consistent usage across the NumPy API.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.repeat.html
39,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.put.html,2025-09-25 09:26:11,success,,numpy.ndarray.put,NumPy,Python,,,numpy.put,Behavior Change,The `numpy.ndarray.put` method was updated to encourage users to use the equivalent standalone function `numpy.put` for consistency and broader compatibility.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.put.html
44,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.partition.html,2025-09-25 09:26:13,success,,numpy.ndarray.partition,numpy,Python,1.22.0,,,Parameter Change,Passing booleans as indices to the `kth` parameter was deprecated to ensure consistent behavior with other NumPy APIs and to reduce ambiguity in the type of arguments.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.partition.html
46,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.searchsorted.html,2025-09-25 09:26:15,success,,numpy.ndarray.searchsorted,NumPy,Python,,,numpy.searchsorted,Behavior Change,"Consolidation of functionality into a more generic global function (numpy.searchsorted), ensuring consistency and reducing redundancy in the API design.",https://numpy.org/doc/stable/reference/generated/numpy.ndarray.searchsorted.html
