original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
4,https://pandas.pydata.org/docs/reference/api/pandas.read_table.html,2025/10/5 19:24,success,,pandas.read_table,pandas,Python,2.2.0,,pandas.read_csv,API Deprecation,The behavior of `pandas.read_table` is largely redundant with `pandas.read_csv`. Consolidation simplifies the API while maintaining the functionality users need.,https://pandas.pydata.org/docs/whatsnew/v2.2.0.html#deprecations
5,https://pandas.pydata.org/docs/reference/api/pandas.read_csv.html,2025/10/5 19:24,success,,pandas.read_csv,pandas,Python,"2.0.0 (for 'infer_datetime_format'), 2.0.0 (for 'date_parser'), 2.2.0 (for 'delim_whitespace')",,"'date_format' (for 'date_parser'), 'sep=\\s+' (for 'delim_whitespace')",Parameter Change,"Parameter changes include the deprecation of legacy or less efficient arguments, replaced by newer or optimized options.",https://pandas.pydata.org/docs/reference/api/pandas.read_csv.html
10,https://pandas.pydata.org/docs/reference/api/pandas.read_excel.html,2025/10/5 19:24,success,,read_excel,pandas,Python,2.1.0,,,Parameter Change,Passing byte strings to the io parameter has been deprecated to encourage users to use BytesIO for better handling.,https://pandas.pydata.org/docs/reference/api/pandas.read_excel.html
12,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.html,2025/10/5 19:24,success,,ExcelFile,pandas,Python,1.2.0,,openpyxl,API Deprecation,"Starting from version 1.2.0, the `xlrd` engine only supports old-style `.xls` files. Users working with `.xlsx` files are advised to switch to `openpyxl`.",https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.html
15,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.parse.html,2025/10/5 19:24,success,,pandas.ExcelFile.parse,pandas,Python,,,pandas.read_excel,Behavior Change,To consolidate Excel file parsing functionality into one API (`read_excel`) for simplicity and consistency.,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.parse.html
18,https://pandas.pydata.org/docs/reference/api/pandas.read_json.html,2025/10/5 19:24,success,,pandas.read_json,pandas,Python,2.1.0,,,Parameter Change,Passing JSON literal strings has been deprecated to streamline API usage and improve consistency with file paths and URLs.,https://pandas.pydata.org/docs/whatsnew/v2.1.0.html
22,https://pandas.pydata.org/docs/reference/api/pandas.read_html.html,2025/10/5 19:24,success,,pandas.read_html,pandas,Python,2.1.0,,Wrap literal string/bytes input in `io.StringIO` or `io.BytesIO`,API Deprecation,Passing literal HTML strings directly to the `io` parameter is deprecated to avoid potential ambiguity and encourage better handling of input data.,https://pandas.pydata.org/docs/reference/api/pandas.read_html.html
24,https://pandas.pydata.org/docs/reference/api/pandas.io.formats.style.Styler.to_html.html,2025/10/5 19:24,success,,Styler.to_html,pandas.io.formats.style,Python,1.3.0,,,,,https://pandas.pydata.org/docs/
27,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_latex.html,2025/10/5 19:24,success,,to_latex,pandas,Python,2.0.0,,pandas.io.formats.style.Styler.to_latex,Behavior Change,"The method was refactored to use the Styler implementation via jinja2 templating, which is more frequently updated and offers greater output flexibility.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_latex.html
25,https://pandas.pydata.org/docs/reference/api/pandas.read_xml.html,2025/10/5 19:24,success,,pandas.read_xml,pandas,Python,2.1.0,,io.StringIO or io.BytesIO wrapped XML input,API Deprecation,To improve consistency and clarity when handling literal XML input by requiring explicit wrapping.,https://pandas.pydata.org/docs/reference/api/pandas.read_xml.html
40,https://pandas.pydata.org/docs/reference/api/pandas.read_parquet.html,2025/10/5 19:24,success,,pandas.read_parquet,pandas,Python,2,,,Parameter Change,"The `use_nullable_dtypes` parameter was deprecated in version 2.0, marking it as experimental, with potential behavior changes for future support for additional dtypes using `pd.NA`. This change likely reflects a transition towards using `dtype_backend` with `pyarrow` as the preferred implementation for nullable dtypes.",https://pandas.pydata.org/docs/reference/api/pandas.read_parquet.html
50,https://pandas.pydata.org/docs/reference/api/pandas.read_gbq.html,2025/10/5 19:25,success,,read_gbq,pandas,Python,2.2.0,,pandas_gbq.read_gbq,API Deprecation,Integrates better with the dedicated pandas-gbq library for Google BigQuery operations and reflects better separation of concerns.,https://pandas.pydata.org/docs/reference/api/pandas.read_gbq.html
58,https://pandas.pydata.org/docs/reference/api/pandas.pivot.html,2025/10/5 19:25,success,,pivot,pandas,Python,,,DataFrame.pivot_table (for handling duplicate values for index/column pairs),Behavior Change,The pivot function does not support data aggregation and raises a ValueError for duplicate entries in index/column combinations. Users are encouraged to use DataFrame.pivot_table for scenarios where data aggregation or handling duplicates is required.,https://pandas.pydata.org/docs/reference/api/pandas.pivot.html
59,https://pandas.pydata.org/docs/reference/api/pandas.pivot_table.html,2025/10/5 19:25,success,,pandas.pivot_table,pandas,Python,2.2.0,,,Parameter Change,The default value of the 'observed' parameter was changed to True to align behavior with expectations when dealing with categorical groupers.,https://pandas.pydata.org/docs/reference/api/pandas.pivot_table.html
76,https://pandas.pydata.org/docs/reference/api/pandas.notnull.html,2025/10/5 19:25,success,,pandas.notnull,pandas,Python,,,pandas.notna,API Deprecation,The `pandas.notnull` API has been deprecated to reduce redundancy as `pandas.notna` provides the same functionality with clearer naming consistency.,https://pandas.pydata.org/docs/reference/api/pandas.notnull.html
77,https://pandas.pydata.org/docs/reference/api/pandas.to_numeric.html,2025/10/5 19:25,success,,pandas.to_numeric,pandas,Python,2.2,,,Parameter Change,"""ignore"" is deprecated. Users are advised to catch exceptions explicitly instead.",https://pandas.pydata.org/docs/reference/api/pandas.to_numeric.html
78,https://pandas.pydata.org/docs/reference/api/pandas.to_datetime.html,2025/10/5 19:25,success,,to_datetime,pandas,Python,2.0.0,,,Parameter Change,The `infer_datetime_format` parameter has been deprecated and removed as its strict behavior became the default and passing it no longer has any effect.,https://pandas.pydata.org/docs/reference/api/pandas.to_datetime.html
79,https://pandas.pydata.org/docs/reference/api/pandas.to_timedelta.html,2025/10/5 19:25,success,,pandas.to_timedelta,pandas,Python,2.2.0,Future Version (TBD),"Updated units for timedelta conversion (e.g., 'h', 'min', 's', 'ms', 'us', 'ns')",Parameter Change,"The previous units ('H', 'T', 'S', 'L', 'U', and 'N') introduced inconsistency and were replaced to align better with other standards.",https://pandas.pydata.org/docs/reference/api/pandas.to_timedelta.html
91,https://pandas.pydata.org/docs/reference/api/pandas.Series.html,2025/10/5 19:25,success,,pandas.Series.iloc,pandas,Python,2.3.3,,loc (access via labels) or iat (access via integer),API Deprecation,The deprecation of `iloc` is aimed at clarifying the preferred integer-position indexing (`iat`) and label-based indexing (`loc`) for better UX and reduced ambiguity.,https://pandas.pydata.org/docs/reference/api/pandas.Series.iloc.html
90,https://pandas.pydata.org/docs/reference/api/pandas.api.interchange.from_dataframe.html,2025/10/5 19:25,success,,from_dataframe,pandas.api.interchange,Python,2.0.3,,Arrow C Data Interface alongside Arrow PyCapsule Interface,API Deprecation,"Severe implementation issues in the interchange protocol, making its usage less reliable. The new Arrow interfaces are recommended for better performance and compatibility.",https://pandas.pydata.org/docs/2.3/reference/api/pandas.api.interchange.from_dataframe.html
94,https://pandas.pydata.org/docs/reference/api/pandas.Series.values.html,2025/10/5 19:25,success,,pandas.Series.values,pandas,Python,,,"pandas.Series.array, pandas.Series.to_numpy",API Deprecation,"To encourage usage of more explicit and consistent APIs (`Series.array` for direct access to the data, and `Series.to_numpy` for converting to a NumPy array), minimizing confusion around `values`.",https://pandas.pydata.org/docs/reference/api/pandas.Series.values.html
107,https://pandas.pydata.org/docs/reference/api/pandas.Series.set_flags.html,2025/10/5 19:25,success,,pandas.Series.set_flags,pandas,Python,3,,,Behavior Change,The `copy` parameter behavior will be altered due to the introduction of lazy Copy-on-Write mechanism. This change aims to optimize performance by deferring copying operations.,https://pandas.pydata.org/docs/reference/api/pandas.Series.set_flags.html
108,https://pandas.pydata.org/docs/reference/api/pandas.Series.astype.html,2025/10/5 19:25,success,,pandas.Series.astype,pandas,Python,3.0.0,,Copy-on-Write mode via `pd.options.mode.copy_on_write=True`,Behavior Change,"The `copy` keyword behavior will change due to the adoption of Copy-on-Write mode, enabling lazy copying for performance optimization.",https://pandas.pydata.org/docs/reference/api/pandas.Series.astype.html
112,https://pandas.pydata.org/docs/reference/api/pandas.Series.bool.html,2025/10/5 19:25,success,,pandas.Series.bool,pandas,Python,2.1.0,Future version (unspecified),pandas.Series.item,API Deprecation,"The method raised exceptions for non-boolean scalar values and was limited to objects containing exactly one element, resulting in restricted usability. The `Series.item` serves as a less rigid alternative.",https://pandas.pydata.org/docs/whatsnew/v2.1.0.html
110,https://pandas.pydata.org/docs/reference/api/pandas.Series.infer_objects.html,2025/10/5 19:25,success,,pandas.Series.infer_objects,pandas,Python,3,,,Parameter Change,"The `copy` parameter will change behavior in pandas 3.0. Copy-on-Write will be enabled by default, which introduces a lazy copy mechanism and renders the `copy` parameter obsolete for future versions.",https://pandas.pydata.org/docs/reference/api/pandas.Series.infer_objects.html
114,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_period.html,2025/10/5 19:25,success,,pandas.Series.to_period,pandas,Python,pandas 3.0,,,Behavior Change,"The `copy` parameter behavior will change to adopt Copy-on-Write semantics by default. This means the method will defer copying and ignore the `copy` keyword entirely in future versions of pandas, aligning with the new Copy-on-Write mechanism.",https://pandas.pydata.org/docs/whatsnew.html
115,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_timestamp.html,2025/10/5 19:25,success,,pandas.Series.to_timestamp,pandas,Python,3,,,Behavior Change,"The `copy` keyword's behavior will change as Copy-on-Write mechanism is enabled by default, making the `copy` keyword effectively ignored.",https://pandas.pydata.org/docs/reference/api/pandas.Series.to_timestamp.html
122,https://pandas.pydata.org/docs/reference/api/pandas.Series.iloc.html,2025/10/5 19:26,success,,pandas.Series.iloc,pandas,Python,2.2.0,,,API Deprecation,Returning a tuple from a callable function passed to `.iloc[]` is being deprecated.,https://pandas.pydata.org/docs/reference/api/pandas.Series.iloc.html
128,https://pandas.pydata.org/docs/reference/api/pandas.Series.xs.html,2025/10/5 19:26,success,,pandas.Series.xs,pandas,Python,,,MultiIndex Slicers,Behavior Change,"Improved functionality for handling MultiIndex slicing and setting operations, making `MultiIndex Slicers` a more versatile solution.",https://pandas.pydata.org/docs/reference/api/pandas.Series.xs.html
132,https://pandas.pydata.org/docs/reference/api/pandas.Series.div.html,2025/10/5 19:26,success,,pandas.Series.div,pandas,Python,,,pandas.Series.truediv,Behavior Change,"The `pandas.Series.div` function's behavior is updated for better consistency and readability, aligned with the `series / other` operation. Additionally, it now supports the substitution of missing data with a `fill_value` parameter for more robust computation.",https://pandas.pydata.org/pandas-docs/version/2.3.3/reference/api/pandas.Series.div.html
135,https://pandas.pydata.org/docs/reference/api/pandas.Series.mod.html,2025/10/5 19:26,success,,Series.mod,pandas,Python,,,Series.rmod,,,https://pandas.pydata.org/docs/reference/api/pandas.Series.mod.html
154,https://pandas.pydata.org/docs/reference/api/pandas.Series.product.html,2025/10/5 19:26,success,,pandas.Series.product,pandas,Python,2.0.0 (DataFrame.prod with axis=None),,DataFrame.prod (with axis=0),Behavior Change,The behavior of `DataFrame.prod` with `axis=None` is deprecated to simplify the API and ensure consistent calculation across axes. Future behavior will compute results over both axes and return a scalar.,https://pandas.pydata.org/docs/whatsnew/v2.0.0.html
157,https://pandas.pydata.org/docs/reference/api/pandas.Series.agg.html,2025/10/5 19:26,success,,pandas.Series.agg,pandas,Python,,,pandas.Series.aggregate,API Deprecation,"The 'agg' method serves as an alias for 'aggregate', and using a single consistent method improves clarity and standardization.",https://pandas.pydata.org/docs/reference/api/pandas.Series.agg.html
