original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
8,https://docs.python-requests.org/en/stable/api/#requests.Session.get_adapter,2025-09-25 10:02:29,success,,Response.json,requests,Python,0.x,1.x,Response.json(),API Deprecation,Changed from a property to a callable for consistent error handling and to improve usability when decoding JSON data.,https://requests.readthedocs.io/en/latest/
4,https://docs.python-requests.org/en/stable/api/#requests.Session.close,2025-09-25 10:02:29,success,,Session,Requests,Python,1.x,,Session (capitalized),API Deprecation,The Session API was updated for consistency and usability. Sessions are now capitalized but backward compatibility was maintained with lowercase ‘session’ instantiation.,https://requests.readthedocs.io/en/stable/#migrating-to-1-x
6,https://docs.python-requests.org/en/stable/api/#requests.Session.delete,2025-09-25 10:02:29,success,,Response.json,requests,Python,0.x,1.x,Response.json(),API Deprecation,To align with Python standards and raise an exception when JSON decoding fails.,https://requests.readthedocs.io/en/latest/
5,https://docs.python-requests.org/en/stable/api/#requests.Session.cookies,2025-09-25 10:02:29,success,,Session,requests,Python,1.x,,Requests.Session,API Deprecation,The `session` API was updated to `Session` to align with Python naming conventions and improve clarity.,https://requests.readthedocs.io/en/latest/
3,https://docs.python-requests.org/en/stable/api/#requests.Session.cert,2025-09-25 10:02:29,success,,Session,requests,Python,1.0,,"Session (capitalized variant, lowercase still allowed for backward compatibility)",Behavior Change,"Sessions now no longer take parameters directly, and the API aligns with standard object initialization practices in Python.",https://requests.readthedocs.io/en/latest/
9,https://docs.python-requests.org/en/stable/api/#requests.Session.get_redirect_target,2025-09-25 10:02:29,success,,Response.json,Requests,Python,0.x,1.x,Response.json(),API Deprecation,"Response.json was previously a property, but was redesigned as a callable method for consistency and improved error handling.",https://requests.readthedocs.io/en/latest/
2,https://docs.python-requests.org/en/stable/api/#requests.Session.auth,2025-09-25 10:02:29,success,,get_connection,requests.adapters,Python,2.32.2,,get_connection_with_tls_context,API Deprecation,To improve TLS settings handling and provide more robust connection management.,https://docs.python-requests.org/en/latest/
7,https://docs.python-requests.org/en/stable/api/#requests.Session.get,2025-09-25 10:02:29,success,,requests.get,requests,Python,1.x,,,Behavior Change,Keys in the headers dictionary are now native strings on all Python versions. This was done to ensure consistent behavior across Python versions.,https://requests.readthedocs.io/en/latest/api/#requests.get
13,https://docs.python-requests.org/en/stable/api/#requests.Session.max_redirects,2025-09-25 10:02:36,success,,Response.json,requests,Python,0.x,1.x,Callable implementation of Response.json,API Deprecation,To provide a more consistent behavior for Response.json by allowing better exception handling on JSON decoding failure.,https://requests.readthedocs.io/en/latest/
16,https://docs.python-requests.org/en/stable/api/#requests.Session.options,2025-09-25 10:02:36,success,,Response.json,requests,Python,0.x,1.x,Response.json(),API Deprecation,The functionality was transitioned from a property to a callable to improve error-handling and compatibility for JSON decoding.,https://requests.readthedocs.io/en/latest/community/updates/
11,https://docs.python-requests.org/en/stable/api/#requests.Session.headers,2025-09-25 10:02:35,success,,Session,requests,Python,0.x,,Session,API Deprecation,The Session API was refined to simplify the interface and avoid misuse.,https://requests.readthedocs.io/en/latest/
10,https://docs.python-requests.org/en/stable/api/#requests.Session.head,2025-09-25 10:02:35,success,,json,requests,Python,1.x,,,Behavior Change,"In 1.x, Response.json was changed from being a property to a callable method to raise exceptions for invalid JSON decoding, improving error handling and making usage more explicit.",https://requests.readthedocs.io/en/latest/
15,https://docs.python-requests.org/en/stable/api/#requests.Session.mount,2025-09-25 10:02:36,success,,Session.get_connection,requests,Python,2.32.2,,Session.get_connection_with_tls_context,API Deprecation,The method was replaced for improved clarity and functionality when dealing with TLS contexts in HTTP requests.,https://requests.readthedocs.io/en/latest/
18,https://docs.python-requests.org/en/stable/api/#requests.Session.patch,2025-09-25 10:02:40,success,,Response.json,requests,Python,0.x,1.x,Response.json(),API Deprecation,Changed from a property to a callable method to enhance error handling and ensure consistent behavior.,https://requests.readthedocs.io/en/latest/
19,https://docs.python-requests.org/en/stable/api/#requests.Session.post,2025-09-25 10:02:41,success,,Session,requests,Python,1.x,,Session (uppercase variant),API Deprecation,Standardized naming for Session class and improved API consistency; lowercase `session` is still retained for backwards compatibility.,https://requests.readthedocs.io/en/latest/#migrating-to-1x
20,https://docs.python-requests.org/en/stable/api/#requests.Session.prepare_request,2025-09-25 10:02:41,success,,Response.json,requests,Python,1.x,,,Behavior Change,Response.json is now callable instead of a property to handle exceptions more consistently.,https://requests.readthedocs.io/en/latest/
28,https://docs.python-requests.org/en/stable/api/#requests.Session.send,2025-09-25 10:02:46,success,,Response.json,requests,Python,1.x,,Response.json(),API Deprecation,"Response.json was changed from a property to a callable method to ensure better error handling, allowing JSON decoding errors to raise exceptions.",https://requests.readthedocs.io/en/latest/
22,https://docs.python-requests.org/en/stable/api/#requests.Session.put,2025-09-25 10:02:42,success,,Session,requests,Python,1.x,,Session (capitalized),API Deprecation,"Session initialization behavior changed, and capitalization was standardized for clarity.",https://requests.readthedocs.io/en/latest
23,https://docs.python-requests.org/en/stable/api/#requests.Session.rebuild_auth,2025-09-25 10:02:42,success,,Response.json,requests,Python,1.0,,Response.json(),Behavior Change,Response.json was changed from a property to a callable for consistency and better error handling. Now it raises exceptions properly when JSON decoding fails.,https://docs.python-requests.org/en/master/api/#requests.Response
25,https://docs.python-requests.org/en/stable/api/#requests.Session.rebuild_proxies,2025-09-25 10:02:44,success,,Response.json,requests,Python,1.x,,Response.json(),API Behavior Change,To improve clarity and make JSON decoding errors explicit.,https://requests.readthedocs.io/en/latest/
27,https://docs.python-requests.org/en/stable/api/#requests.Session.resolve_redirects,2025-09-25 10:02:45,success,,Response.json,requests,Python,0.x,1.x,Response.json(),API Deprecation,To make Response.json follow a callable interface for better usability and consistency.,https://docs.python-requests.org/en/latest/
26,https://docs.python-requests.org/en/stable/api/#requests.Session.request,2025-09-25 10:02:45,success,,Response.json,requests,Python,0.x,1.x,Response.json(),API Deprecation,The property was replaced by a callable method to align with better practice and allow raising exceptions for invalid JSON decoding.,https://requests.readthedocs.io/en/latest/#api-changes-in-v1-x
24,https://docs.python-requests.org/en/stable/api/#requests.Session.rebuild_method,2025-09-25 10:02:43,success,,Response.json,requests,Python,1.x,,Callable Response.json(),API Deprecation,The change was made to improve clarity and provide better control by treating `Response.json` as a callable rather than a property.,https://docs.python-requests.org/en/latest/community/updates/
