original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
4,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.Birch.html,2025-10-15 19:05:06,success,,Birch,sklearn.cluster,Python,1.6,1.8,,Parameter Change,"The 'copy' parameter was deprecated in version 1.6 and will be removed in version 1.8 as the estimator does not perform in-place operations on the input data, rendering the parameter unnecessary.",https://scikit-learn.org/stable/whats_new/v1.6.html#sklearn-cluster-birch
9,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.KMeans.html,2025-10-15 19:05:06,success,,KMeans,sklearn.cluster,Python,1.1,,,Parameter Change,"Default value of the `n_init` parameter was changed to `'auto'` to simplify configuration and improve performance based on initialization method. Additionally, the `'full'` algorithm was renamed to `'lloyd'`, and the `'auto'` algorithm was deprecated in favor of `'lloyd'`.",https://scikit-learn.org/stable/whats_new/v1.1.html#sklearn-cluster
22,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.k_means.html,2025-10-15 19:05:23,success,,k_means,sklearn.cluster,Python,1.1,,,Parameter Change,"The 'auto' option for the 'n_init' parameter was added in version 1.2, and its default value was adjusted to 'auto' in version 1.4 for more optimal behavior. The algorithm option 'auto', which previously mapped to 'elkan', was deprecated in version 1.1 in favor of explicitly specifying 'lloyd' or 'elkan'. The default algorithm was updated to 'lloyd' from 'full' in version 1.1.",https://scikit-learn.org/stable/whats_new/v1.4.html https://scikit-learn.org/stable/whats_new/v1.2.html
31,https://scikit-learn.org/stable/modules/generated/sklearn.base.ClusterMixin.html,2025-10-15 19:05:33,success,,fit_predict,sklearn.base,Python,1.4,,,Behavior Change,The `fit_predict` method was added to the `ClusterMixin` in version 1.4 to streamline cluster estimators' API and improve consistency in usage.,https://scikit-learn.org/stable/whats_new/v1.4.html
33,https://scikit-learn.org/stable/modules/generated/sklearn.base.MetaEstimatorMixin.html,2025-10-15 19:05:34,success,,MetaEstimatorMixin,sklearn.base,Python,1.6,,,Behavior Change,The `_required_parameters` attribute was removed because tests were refactored and no longer utilize this attribute.,https://scikit-learn.org/stable/whats_new.html#version-1-6-0
40,https://scikit-learn.org/stable/modules/generated/sklearn.base.is_clusterer.html,2025-10-15 19:05:40,success,,is_clusterer,sklearn.base,Python,1.6,,,API Addition,Added to enable users to check if a given estimator is a clusterer. Improves API usability and clarity by simplifying validation logic for clusterers.,https://scikit-learn.org/stable/whats_new/v1.6.html
38,https://scikit-learn.org/stable/modules/generated/sklearn.base.clone.html,2025-10-15 19:05:39,success,,clone,sklearn.base,Python,1.3,,estimator.__sklearn_clone__ (if exists),Behavior Change,To allow individual estimators to provide their own `__sklearn_clone__` method for a customized implementation of the cloning process.,https://scikit-learn.org/stable/whats_new/v1.3.html
43,https://scikit-learn.org/stable/modules/generated/sklearn.calibration.CalibratedClassifierCV.html,2025-10-15 19:05:44,success,,CalibratedClassifierCV,sklearn.calibration,Python,1.6,,FrozenEstimator (used with CalibratedClassifierCV),Parameter Change,The 'prefit' option of the 'cv' parameter was deprecated in favor of using the FrozenEstimator mechanism to avoid confusion and improve clarity when using pre-trained classifiers for calibration.,https://scikit-learn.org/stable/whats_new/v1.6.html#id11
46,https://scikit-learn.org/stable/modules/generated/sklearn.compose.ColumnTransformer.html,2025-10-15 19:05:45,success,,ColumnTransformer,sklearn.compose,Python,1.7.0,1.9.0,,Parameter Change,The `force_int_remainder_cols` parameter was deprecated due to limited use cases and redundancy with existing functionality.,https://scikit-learn.org/stable/whats_new/v1.7.html
49,https://scikit-learn.org/stable/modules/generated/sklearn.compose.make_column_transformer.html,2025-10-15 19:05:45,success,,make_column_transformer,sklearn.compose,Python,1.7,1.9,,API Deprecation,The parameter `force_int_remainder_cols` was deprecated due to its lack of effect on the API functionality and unnecessary complexity in usage.,https://scikit-learn.org/stable/whats_new/v1.7.html#deprecation-notes
51,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.EmpiricalCovariance.html,2025-10-15 19:05:52,success,,EmpiricalCovariance,sklearn.covariance,Python,0.24,,,Parameter Change,"Two attributes, `n_features_in_` and `feature_names_in_`, were added in version 0.24 and 1.0, respectively, to improve support for feature inspection and consistency in dimensionality checks during `fit`.",https://scikit-learn.org/stable/modules/generated/sklearn.covariance.EmpiricalCovariance.html
53,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html,2025-10-15 19:05:53,success,,GraphicalLassoCV,sklearn.covariance,Python,v0.20,,,API Deprecation,The API `GraphLassoCV` was renamed to `GraphicalLassoCV` for clarity and consistency within the scikit-learn library.,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
52,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLasso.html,2025-10-15 19:05:52,success,,GraphLasso,sklearn.covariance,Python,0.20,,GraphicalLasso,API Deprecation,The API was renamed to improve clarity and alignment with consistent naming conventions within scikit-learn.,https://scikit-learn.org/stable/whats_new/v0.20.html
59,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.graphical_lasso.html,2025-10-15 19:06:00,success,,graphical_lasso,sklearn.covariance,Python,v0.20,,graphical_lasso,API Deprecation,The original API name `graph_lasso` was renamed to `graphical_lasso` for better clarity and consistency in naming conventions.,https://scikit-learn.org/stable/whats_new/v0.20.html#renamed-functions
64,https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.CCA.html#,2025-10-15 19:06:15,success,,CCA,sklearn.cross_decomposition,Python,1.3,,,Parameter Change,Metadata routing mechanisms were introduced for better handling of auxiliary data and to improve the flexibility when CCA is used within meta-estimators.,https://scikit-learn.org/stable/whats_new/v1.3.html
66,https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.PLSRegression.html,2025-10-15 19:06:16,success,,PLSRegression,sklearn.cross_decomposition,Python,Not applicable,,,Parameter Change,"In version 1.3, `set_predict_request`, `set_score_request`, and `set_transform_request` methods were added to configure metadata routing for predict, score, and transform methods, respectively. These changes were made to enable more flexibility when used as a sub-estimator within meta-estimators.",https://scikit-learn.org/stable/whats_new/v1.3.html#sklearn-cross-decomposition
69,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.dump_svmlight_file.html,2025-10-15 19:06:19,success,,dump_svmlight_file,sklearn.datasets,Python,0.17,,,Parameter Change,"Support for multilabel datasets was added in version 0.17, introducing the `multilabel` parameter.",https://scikit-learn.org/stable/whats_new/v0.17.html#sklearn-datasets-dump-svmlight-file
74,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.fetch_file.html,2025-10-15 19:06:24,success,,fetch_file,sklearn.datasets,Python,1.6,,,,,https://scikit-learn.org/stable/whats_new/v0.24.html#id15
85,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.load_digits.html,2025-10-15 19:06:40,success,,load_digits,sklearn.datasets,Python,0.18,,,Parameter Change,"The `return_X_y` parameter was added in version 0.18 to simplify the return value by directly separating the data and target variables into a tuple, rather than returning a Bunch object.",https://scikit-learn.org/stable/modules/generated/sklearn.datasets.load_digits.html
92,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.load_svmlight_files.html,2025-10-15 19:06:49,success,,load_svmlight_files,sklearn.datasets,Python,1.2,,,Parameter Change,Support for Path-like objects was added to enhance compatibility with modern file handling and Python libraries.,https://scikit-learn.org/stable/whats_new/v1.2.html#id25
91,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.load_svmlight_file.html,2025-10-15 19:06:49,success,,load_svmlight_file,sklearn.datasets,Python,1.2,,,Parameter Change,"The `f` parameter now accepts path-like objects in addition to strings, file-like objects, and integers. This changes the allowed types for better compatibility with modern file system APIs.",https://scikit-learn.org/stable/modules/generated/sklearn.datasets.load_svmlight_file.html
19,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.compute_optics_graph.html,2025-10-15 19:05:21,success,,compute_optics_graph,sklearn.cluster,Python,SciPy 1.9 (reference to `kulsinski` metric deprecation),SciPy 1.11 (reference to `kulsinski` metric removal),,Parameter Change,`kulsinski` metric was deprecated in SciPy 1.9 and slated for removal in SciPy 1.11 due to better alternatives or reduced usage.,https://scikit-learn.org/stable/whats_new/v1.7.html
95,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_blobs.html,2025-10-15 19:06:52,success,,make_blobs,sklearn.datasets,Python,v0.20,,,Parameter Change,"In version 0.20, the `n_samples` parameter was updated to accept array-like inputs for specifying the number of samples per cluster, improving flexibility.",https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_blobs.html
97,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_circles.html,2025-10-15 19:06:58,success,,make_circles,sklearn.datasets,Python,0.23,,,Parameter Change,Support for generating circles with different numbers of points in inner and outer circles by introducing a two-element tuple format for the `n_samples` parameter.,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_circles.html
105,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_moons.html,2025-10-15 19:07:09,success,,make_moons,sklearn.datasets,Python,0.23,,,Parameter Change,The `n_samples` parameter was updated to support a two-element tuple to allow specifying the number of samples per moon. This change provides better flexibility for users to customize the dataset according to their needs.,https://scikit-learn.org/stable/whats_new/v0.23.html#id10
110,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_sparse_spd_matrix.html,2025-10-15 19:07:15,success,,make_sparse_spd_matrix,sklearn.datasets,Python,1.4,,,Parameter Change,The parameter `dim` was renamed to `n_dim` to better reflect its purpose and align it with naming conventions.,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_sparse_spd_matrix.html
116,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.FastICA.html,2025-10-15 19:07:21,success,,FastICA,sklearn.decomposition,Python,1.3,,,Parameter Change,The default value of the `whiten` parameter was updated to ensure better numerical stability and alignment with common use cases.,https://scikit-learn.org/stable/whats_new/v1.3.html
118,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.KernelPCA.html,2025-10-15 19:07:23,success,,KernelPCA,sklearn.decomposition,Python,1.0,,randomized eigensolver option added,Parameter Change,Enhancement to support randomized truncated SVD via Halko et al.'s method for certain conditions where n_components is much less than the number of training samples.,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.KernelPCA.html
119,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.LatentDirichletAllocation.html,2025-10-15 19:07:25,success,,LatentDirichletAllocation,sklearn.decomposition,Python,0.19,,,Parameter Change,The parameter `n_topics` was renamed to `n_components` for improved clarity and consistency in naming conventions.,https://scikit-learn.org/stable/whats_new/v0.19.html#id13
