original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
5,https://www.tensorflow.org/api_docs/python/tf/Graph,2025-10-16 12:59:17,success,,tf.Graph,tensorflow,Python,v2.0,,tf.function,API Deprecation,"Graphs were used directly in TensorFlow 1.x, but this approach was deprecated in TensorFlow 2.x in favor of eager execution and `tf.function` for performance optimization and usability improvements.",https://www.tensorflow.org/api_docs/python/tf/Graph
3,https://www.tensorflow.org/api_docs/python/tf/DeviceSpec,2025-10-16 12:59:17,success,,DeviceSpec,tensorflow,Python,2.x,,DeviceSpec.from_string and DeviceSpec.replace,Behavior Change,DeviceSpecs became immutable in TensorFlow 2.x. Direct modification of attributes was deprecated to improve consistency and reliability.,https://www.tensorflow.org/api_docs/python/tf/DeviceSpec
11,https://www.tensorflow.org/api_docs/python/tf/RaggedTensor,2025-10-16 12:59:30,success,,tf.RaggedTensor.__div__,tensorflow,Python,v2.0.0,v2.16.1,tf.math.divide,API Deprecation,Move away from Python 2 semantics and ensure consistency with Python 3 division behavior.,https://www.tensorflow.org/api_docs/python/tf/RaggedTensor#__div__
13,https://www.tensorflow.org/api_docs/python/tf/RegisterGradient,2025-10-16 12:59:32,success,,RegisterGradient,tf,Python,,,tf.compat.v1.RegisterGradient,API Deprecation,Migration to TensorFlow 2.x and encouragement to use the updated APIs. The updated API `tf.compat.v1.RegisterGradient` is primarily intended for backwards compatibility with TensorFlow 1.x code.,https://www.tensorflow.org/api_docs/python/tf/RegisterGradient
15,https://www.tensorflow.org/api_docs/python/tf/Tensor,2025-10-16 12:59:33,success,,tf.Tensor.experimental_ref,tensorflow,Python,2.16.1,,tf.Tensor.ref,API Deprecation,Simplification and consistency in naming conventions for reference APIs.,https://github.com/tensorflow/tensorflow/releases/tag/v2.16.1
16,https://www.tensorflow.org/api_docs/python/tf/TensorArray,2025-10-16 12:59:33,success,,TensorArray,tf,Python,,,tf.compat.v1.TensorArray,API Deprecation,The TensorArray has a compat alias (`tf.compat.v1.TensorArray`) for migration. This is part of the transition to TensorFlow 2.x to enable backward compatibility for users relying on TensorFlow 1.x-based functionality.,https://www.tensorflow.org/api_docs/python/tf/TensorArray
21,https://www.tensorflow.org/api_docs/python/tf/UnconnectedGradients,2025-10-16 13:00:33,success,,tf.UnconnectedGradients,tf.compat.v1,Python,v2.16.1,,,API Deprecation,"Introduced compat aliases to provide a migration path from TensorFlow v1 to v2, and included a more flexible gradient computation option.",https://github.com/tensorflow/tensorflow/blob/master/tensorflow/python/ops/gradients.py
30,https://www.tensorflow.org/api_docs/python/tf/boolean_mask,2025-10-16 13:00:50,success,,tf.boolean_mask,TensorFlow,Python,,,tf.ragged.boolean_mask,Behavior Change,To accommodate both dense and ragged tensors while preserving masked dimensions for enhanced functionality.,https://github.com/tensorflow/tensorflow
23,https://www.tensorflow.org/api_docs/python/tf/Variable/SaveSliceInfo,2025-10-16 13:00:34,success,,tf.Variable.SaveSliceInfo,tf,python,,,tf.experimental.dtensor.DVariable.SaveSliceInfo,API Deprecation,The API is not public and is subject to change. Users are encouraged to use the experimental `tf.experimental.dtensor.DVariable.SaveSliceInfo` for similar functionality.,https://github.com/tensorflow/tensorflow/blob/v2.16.1/tensorflow/core/util/tensor_slice_reader.cc
29,https://www.tensorflow.org/api_docs/python/tf/bitcast,2025-10-16 13:00:46,success,,tf.bitcast,tensorflow,python,,,tf.cast,Behavior Change,"The behavior of `tf.bitcast` differs from `tf.cast` when casting a real data type to a complex data type. `tf.cast` initializes the imaginary part to 0, whereas `tf.bitcast` leads to an invalid operation if sizes of input and output types are incompatible, leading to errors on certain operations.",https://www.tensorflow.org/api_docs/python/tf/bitcast
25,https://www.tensorflow.org/api_docs/python/tf/VariableSynchronization,2025-10-16 13:00:35,success,,VariableSynchronization,tf,Python,,,tf.compat.v1.VariableSynchronization,Behavior Change,Simplified synchronization options for distributed strategies. Migration guide provided for compatibility.,https://github.com/tensorflow/tensorflow/blob/v2.16.1/tensorflow/python/ops/variables.py
31,https://www.tensorflow.org/api_docs/python/tf/broadcast_dynamic_shape,2025-10-16 13:01:36,success,,tf.broadcast_dynamic_shape,tf,Python,,,tf.compat.v1.broadcast_dynamic_shape,API Deprecation,The API has a compat alias `tf.compat.v1.broadcast_dynamic_shape` provided for migration purposes. It is likely deprecated to encourage users to transition to newer API versions per TensorFlow's migration guide.,https://www.tensorflow.org/api_docs/python/tf/broadcast_dynamic_shape
32,https://www.tensorflow.org/api_docs/python/tf/broadcast_static_shape,2025-10-16 13:01:36,success,,tf.broadcast_static_shape,TensorFlow,Python,unknown,unknown,tf.compat.v1.broadcast_static_shape,API Deprecation,Compatibility reasons; newer function tf.compat.v1.broadcast_static_shape should be used for migration in TensorFlow v1 compatibility mode.,https://www.tensorflow.org/api_docs/python/tf/broadcast_static_shape
33,https://www.tensorflow.org/api_docs/python/tf/broadcast_to,2025-10-16 13:01:37,success,,tf.broadcast_to,tensorflow,Python,,,tf.compat.v1.broadcast_to,API Standardization,"As part of the transition from TensorFlow v1 to v2, the `tf.broadcast_to` function was moved under the `tf.compat.v1` namespace for backward compatibility. This maintains functionality for users working with TensorFlow v1, while encouraging migration to TensorFlow v2 API.",https://www.tensorflow.org/api_docs/python/tf/broadcast_to
34,https://www.tensorflow.org/api_docs/python/tf/case,2025-10-16 13:01:37,success,,tf.case,TensorFlow,Python,,,tf.switch_case (recommended alternative),Behavior Change,tf.case supports nested structures as implemented in tf.nest. This behavior introduces complexity compared to the simpler tf.switch_case. The latter is recommended for newer implementations to follow clean code standards.,https://www.tensorflow.org/api_docs/python/tf/case
35,https://www.tensorflow.org/api_docs/python/tf/cast,2025-10-16 13:01:38,success,,tf.cast,TensorFlow,Python,,,tf.dtypes.cast,API Deprecation,Standardization of API naming conventions for consistency and clarity.,https://github.com/tensorflow/tensorflow/blob/main/tensorflow/python/ops/casting_ops.py
46,https://www.tensorflow.org/api_docs/python/tf/conv2d_backprop_input_v2,2025-10-16 13:02:39,success,,conv2d_backprop_input_v2,tensorflow,Python,,,conv2d_backprop_input,API Deprecation,Streamlining API namespace and providing a simpler method for computing gradients of convolutions.,https://www.tensorflow.org/api_docs/python/tf/conv2d_backprop_input_v2
43,https://www.tensorflow.org/api_docs/python/tf/control_dependencies,2025-10-16 13:02:38,success,,tf.control_dependencies,TensorFlow,Python,2.0.0,,Automatic control dependencies using eager execution or Autograph-supported `tf.function`,Behavior Change,"In TensorFlow 2, eager execution is enabled by default, making manual control dependencies less necessary. The change ensures operations are executed in the expected order automatically, reducing code verbosity and improving usability.",https://www.tensorflow.org/api_docs/python/tf/control_dependencies
41,https://www.tensorflow.org/api_docs/python/tf/constant,2025-10-16 13:01:50,success,,tf.constant,TensorFlow,Python,,,tf.convert_to_tensor,Behavior Change,"tf.constant embeds values in a Const node in graphs, which fails for symbolic tensors. Developers are advised to use tf.convert_to_tensor for symbolic tensor support.",https://github.com/tensorflow/tensorflow/blob/master/tensorflow/python/ops/constant_op.py
52,https://www.tensorflow.org/api_docs/python/tf/edit_distance,2025-10-16 13:02:54,success,,edit_distance,tf,Python,v1 (available as `tf.compat.v1.edit_distance` in TensorFlow v2),Not yet removed,tf.edit_distance,API Deprecation,"TensorFlow transitioned from v1 to v2 with a focus on simplicity and usability. Many TensorFlow v1 APIs, including `tf.compat.v1.edit_distance`, were deprecated in favor of more intuitive and simplified APIs in TensorFlow v2.",https://www.tensorflow.org/api_docs/python/tf/edit_distance
51,https://www.tensorflow.org/api_docs/python/tf/dynamic_stitch,2025-10-16 13:02:54,success,,tf.dynamic_stitch,TensorFlow,Python,,,tf.compat.v1.dynamic_stitch,Behavior Change,Transition to TensorFlow 2 compatibility updates led to changes in API behavior.,https://www.tensorflow.org/api_docs/python/tf/dynamic_stitch
62,https://www.tensorflow.org/api_docs/python/tf/foldl,2025-10-16 13:03:54,success,,tf.foldl,TensorFlow,Python,v2.16.1,,tf.nest.map_structure and tf.stop_gradient,Parameter Change,"The parameter `back_prop=False` is deemed deprecated and will be removed in a future version, as it is recommended to use `tf.stop_gradient` for disabling backpropagation.",https://www.tensorflow.org/api_docs/python/tf/foldl
59,https://www.tensorflow.org/api_docs/python/tf/fftnd,2025-10-16 13:03:45,success,,tf.fftnd,tensorflow.signal,Python,v2.11.0,,tf.signal.fftnd,API Deprecation,Consolidated FFT operations into the `tensorflow.signal` package to improve organization and clarity.,https://www.tensorflow.org/api_docs/python/tf/signal/fftnd
63,https://www.tensorflow.org/api_docs/python/tf/foldr,2025-10-16 13:03:54,success,,foldr,tf,Python,v2.16.1,,tf.nest.map_structure(tf.stop_gradient),Parameter Change,The argument `back_prop=False` is deprecated to encourage using `tf.stop_gradient` for more explicit control over the backpropagation process.,https://github.com/tensorflow/tensorflow/releases/tag/v2.16.1
64,https://www.tensorflow.org/api_docs/python/tf/function,2025-10-16 13:03:55,success,,tf.function,TensorFlow,Python,2.16.1,,"jit_compile, reduce_retracing",Parameter Change,To simplify functionality and deprecate experimental arguments for cleaner usage.,https://www.tensorflow.org/api_docs/python/tf/function
