original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
13,https://docs.pytorch.org/docs/stable/generated/torch.set_default_tensor_type.html,2025/8/27 19:30,success,,torch.set_default_tensor_type,torch,Python,2.1,,"torch.set_default_dtype, torch.set_default_device",API Deprecation,This function has been deprecated in favor of using `torch.set_default_dtype` for managing data type and `torch.set_default_device` for device handling. The separation provides more granular control and aligns with modern development practices.,https://pytorch.org/docs/stable/generated/torch.set_default_tensor_type.html
25,https://docs.pytorch.org/docs/stable/generated/torch.as_strided.html,2025/8/27 19:30,success,,torch.as_strided,torch,Python,,,"torch.Tensor.view, torch.Tensor.expand",Behavior Change,Setting a view’s strides manually with as_strided may result in undefined behavior on non-standard PyTorch backends and overlapping views.,https://pytorch.org/docs/stable/generated/torch.as_strided.html
33,https://docs.pytorch.org/docs/stable/generated/torch.ones_like.html,2025/8/27 19:31,success,,torch.ones_like,torch,Python,0.4,,,Parameter Change,The `out` keyword was removed to streamline the API and encourage using alternative methods for specifying output tensors.,https://pytorch.org/docs/stable/generated/torch.ones_like.html
31,https://docs.pytorch.org/docs/stable/generated/torch.zeros_like.html,2025/8/27 19:31,success,,torch.zeros_like,torch,Python,0.4,,torch.zeros with input.size(),API Deprecation,The `out` keyword is no longer supported in this API as it was redundant and inconsistent with newer design principles.,https://pytorch.org/docs/stable/generated/torch.zeros_like.html
35,https://docs.pytorch.org/docs/stable/generated/torch.range.html,2025/8/27 19:31,success,,torch.range,torch,Python,2.8,,torch.arange,API Deprecation,"Behavior is inconsistent with Python’s `range()` builtin, and torch.arange provides a more predictable alternative.",https://pytorch.org/docs/stable/generated/torch.range.html
37,https://docs.pytorch.org/docs/stable/generated/torch.logspace.html,2025/8/27 19:31,success,,torch.logspace,torch,Python,1.11,,,Parameter Change,The `steps` argument was made mandatory to improve clarity and consistency in API behavior.,https://pytorch.org/docs/stable/generated/torch.logspace.html
36,https://docs.pytorch.org/docs/stable/generated/torch.linspace.html,2025/8/27 19:31,success,,torch.linspace,torch,Python,1.11,,,Parameter Change,The `steps` parameter was made mandatory to ensure explicit and consistent behavior when generating linearly spaced tensors.,https://pytorch.org/docs/stable/generated/torch.linspace.html
54,https://docs.pytorch.org/docs/stable/generated/torch.concatenate.html,2025/8/27 19:32,success,,torch.concatenate,torch (PyTorch),Python,,,torch.cat,Parameter Change,To unify functionality under `torch.cat` for clarity and consistency in API naming.,https://pytorch.org/docs/stable/generated/torch.concatenate.html
56,https://docs.pytorch.org/docs/stable/generated/torch.chunk.html,2025/8/27 19:32,success,,torch.chunk,torch (PyTorch),Python,,,torch.tensor_split,Behavior Change,"Added torch.tensor_split to explicitly guarantee the number of resulting chunks, addressing scenarios where torch.chunk's behavior may lead to fewer chunks than specified.",https://pytorch.org/docs/stable/generated/torch.chunk.html
55,https://docs.pytorch.org/docs/stable/generated/torch.conj.html,2025/8/27 19:32,success,,torch.conj,torch,Python,,,torch.conj_physical,Behavior Change,Future versions of `torch.conj()` may return a non-writeable view for tensors of non-complex dtype. This change enhances compatibility and safety.,https://pytorch.org/docs/stable/generated/torch.conj.html
53,https://docs.pytorch.org/docs/stable/generated/torch.concat.html,2025/8/27 19:32,success,,torch.concat,torch,Python,,,torch.cat,Alias Introduction,torch.concat was introduced as an alias to torch.cat for improved API consistency and user familiarity.,https://pytorch.org/docs/stable/generated/torch.concat.html
