original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
4,https://nokogiri.org/rdoc/Nokogiri/Decorators.html,2025-11-03 17:27:02,success,,,Nokogiri::Decorators,Ruby,,,,,,
9,https://nokogiri.org/rdoc/Nokogiri/SyntaxError.html,2025-11-03 17:27:02,success,,Nokogiri::SyntaxError,Nokogiri,Ruby,,,,,,
5,https://nokogiri.org/rdoc/Nokogiri/EncodingHandler.html,2025-11-03 17:27:02,success,,EncodingHandler,Nokogiri,Ruby,,,,,,https://nokogiri.org/
7,https://nokogiri.org/rdoc/Nokogiri/HTML4.html,2025-11-03 17:27:02,success,,Nokogiri::HTML4,nokogiri,Ruby,,,Nokogiri::HTML,API Addition,The module/namespace Nokogiri::HTML4 was introduced to better structure and differentiate between HTML-related classes as of v1.12.0.,https://nokogiri.org
6,https://nokogiri.org/rdoc/Nokogiri/Gumbo.html,2025-11-03 17:27:02,success,,Nokogiri::Gumbo,Nokogiri,Ruby,,,,,,
3,https://nokogiri.org/rdoc/Nokogiri/ClassResolver.html,2025-11-03 17:27:02,success,,related_class,Nokogiri::ClassResolver,Ruby,,,,,,https://github.com/sparklemotion/nokogiri
8,https://nokogiri.org/rdoc/Nokogiri/HTML5.html,2025-11-03 17:27:02,success,,Nokogiri::HTML5.parse,Nokogiri,Ruby,,,,Behavior Change,"The error messages, error locations, and error codes are not part of Nokogiri's public API for semantic version stability. Therefore, they are subject to change without major version change.",https://nokogiri.org
2,https://nokogiri.org/rdoc/Nokogiri/CSS.html,2025-11-03 17:27:02,success,,xpath_for,Nokogiri::CSS,Ruby,6.10.0,,,API Deprecation,Passing options as an explicit hash is deprecated to encourage the use of keyword arguments for better clarity and future compatibility.,https://nokogiri.org
10,https://nokogiri.org/rdoc/Nokogiri/XML.html,2025-11-03 17:27:06,success,,Nokogiri::XML,nokogiri,Ruby,,,,,,https://www.rubydoc.info/gems/nokogiri
12,https://nokogiri.org/rdoc/Nokogiri/CSS/SyntaxError.html,2025-11-03 17:27:07,success,,Nokogiri::CSS::SyntaxError,Nokogiri,Ruby,,,,,,
11,https://nokogiri.org/rdoc/Nokogiri/XSLT.html,2025-11-03 17:27:07,success,,Nokogiri::XSLT::register,Nokogiri,Ruby,,,,API Behavior Change,"The `Nokogiri::XSLT.register` method is not implemented for JRuby, limiting usage to specific Ruby environments. Users are advised to use alternative setups for JRuby compatibility.",https://nokogiri.org/
14,https://nokogiri.org/rdoc/Nokogiri/HTML/Builder.html,2025-11-03 17:27:08,success,,Nokogiri::HTML::Builder,Nokogiri,Ruby,1.12.0,,Nokogiri::HTML4::Builder,API Deprecation,The class has been aliased to streamline naming conventions and support more precise version handling.,https://nokogiri.org/ (No specific page mentioned in the content; general documentation link provided)
13,https://nokogiri.org/rdoc/Nokogiri/Decorators/Slop.html,2025-11-03 17:27:08,success,,Nokogiri::Decorators::Slop,Nokogiri,Ruby,,,,,,https://www.rubydoc.info/gems/nokogiri/Nokogiri/Decorators/Slop
16,https://nokogiri.org/rdoc/Nokogiri/HTML5/Builder.html,2025-11-03 17:27:09,success,,Nokogiri::HTML5::Builder,Nokogiri,Ruby,,,,,,https://www.w3.org/TR/2008/WD-html5-20080610/serializing.html
15,https://nokogiri.org/rdoc/Nokogiri/HTML4/Builder.html,2025-11-03 17:27:08,success,,Nokogiri::HTML4::Builder,Nokogiri,Ruby,,,Nokogiri::XML::Builder,API Deprecation,"The Nokogiri::HTML4::Builder inherits from Nokogiri::XML::Builder, suggesting users migrate to Nokogiri::XML::Builder for complete documentation coverage.",https://nokogiri.org/
18,https://nokogiri.org/rdoc/Nokogiri/XSLT/Stylesheet.html,2025-11-03 17:27:09,success,,Nokogiri::XSLT::Stylesheet#apply_to,Nokogiri,Ruby,,,Nokogiri::XSLT::Stylesheet#serialize + #transform,Behavior Change,"The apply_to method was introduced as a convenience for combining serialization and transformation steps into a single operation, optimizing code readability and ease of use.",https://nokogiri.org
19,https://nokogiri.org/rdoc/Nokogiri/CSS/XPathVisitor.html,2025-11-03 17:27:11,success,,XPathVisitor,Nokogiri::CSS,Ruby,,,,,,
20,https://nokogiri.org/rdoc/Nokogiri/HTML/Document.html,2025-11-03 17:27:12,success,,Nokogiri::HTML::Document,Nokogiri,Ruby,v1.12.0,,Nokogiri::HTML4::Document,API Deprecation,The library transitioned to using an alias for better compatibility and clarity across HTML parsing versions. This change ensures that HTML4 parsing references are explicit and aligned with the newer versioning structure.,https://nokogiri.org/
17,https://nokogiri.org/rdoc/Nokogiri/XML/Attr.html,2025-11-03 17:27:09,success,,Nokogiri::XML::Attr,Nokogiri,Ruby,v1.14.0,,,Behavior Change,Changes were introduced to support enhanced pattern matching and to align with modern Ruby features.,https://nokogiri.org/docs/v1.14.0/classes/Nokogiri/XML/Attr.html
23,https://nokogiri.org/rdoc/Nokogiri/XML/AttributeDecl.html,2025-11-03 17:27:14,success,,Nokogiri::XML::AttributeDecl,Nokogiri::XML,Ruby,,,,,,https://nokogiri.org
21,https://nokogiri.org/rdoc/Nokogiri/HTML4/Document.html,2025-11-03 17:27:13,success,,Nokogiri::HTML4::Document,Nokogiri,Ruby,,,,,,https://nokogiri.org
22,https://nokogiri.org/rdoc/Nokogiri/HTML5/Document.html,2025-11-03 17:27:13,success,,Nokogiri::HTML5::Document,Nokogiri,Ruby,,,,Behavior Change,Introduction of HTML5 parsing functionality starting from v1.12.0 and enhancements in v1.14.0,https://nokogiri.org/documentation.html
24,https://nokogiri.org/rdoc/Nokogiri/CSS/XPathVisitor/BuiltinsConfig.html,2025-11-03 17:27:15,success,,Nokogiri::CSS::XPathVisitor::BuiltinsConfig,Nokogiri,Ruby,,,,Performance Optimization,Optimization for faster use of Nokogiri built-in XPath functions in scenarios where it outperforms standard vanilla XPath queries.,
