original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
2,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-after-3F,2025-11-03 18:02:44,success,,DateAndTime::Calculations,ActiveSupport (Ruby on Rails 7.0.10),Ruby,,,,,,
9,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-next_day-3F,2025-11-03 18:02:44,success,,DateAndTime::Calculations,activesupport,Ruby,,,,,,https://github.com/rails/rails/blob/main/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
6,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-future-3F,2025-11-03 18:02:44,success,,DateAndTime::Calculations,activesupport,Ruby,,,,,,https://github.com/rails/rails/blob/v7.0.10/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
7,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-last_month,2025-11-03 18:02:44,success,,DateAndTime::Calculations,active_support (Ruby on Rails 7.0.10),Ruby,,,,,,https://github.com/rails/rails/blob/main/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
3,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-before-3F,2025-11-03 18:02:44,success,,DateAndTime::Calculations,ActiveSupport,Ruby,,,,,,https://github.com/rails/rails/blob/main/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
8,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-monday,2025-11-03 18:02:44,success,,DateAndTime::Calculations,ActiveSupport (Ruby on Rails),Ruby,,,,,,https://github.com/rails/rails/blob/v7.0.10/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
5,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-end_of_month,2025-11-03 18:02:44,success,,DateAndTime::Calculations,ActiveSupport,Ruby,,,,,,https://github.com/rails/rails/blob/main/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
4,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-days_ago,2025-11-03 18:02:44,success,,DateAndTime::Calculations,Ruby on Rails ActiveSupport Core Extensions,Ruby,,,,,,https://github.com/rails/rails/blob/main/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
12,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-sunday,2025-11-03 18:02:50,success,,DateAndTime::Calculations,activesupport,Ruby,,,,,,
10,https://api.rubyonrails.org/v7.0/classes/DateAndTime/Calculations.html#method-i-on_weekday-3F,2025-11-03 18:02:50,success,,DateAndTime::Calculations,ActiveSupport,Ruby,,,,,,https://github.com/rails/rails/blob/main/activesupport/lib/active_support/core_ext/date_and_time/calculations.rb
