original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
7,https://www.postgresql.org/docs/current/sql-alterdefaultprivileges.html,2025-10-16 15:49:19,success,,ALTER DEFAULT PRIVILEGES,PostgreSQL SQL Commands,SQL,17,,ALTER DEFAULT PRIVILEGES with ROUTINES keyword,Behavior Change,"Starting with PostgreSQL version 18, the SQL standard prefers the term 'ROUTINES' instead of 'FUNCTIONS' when addressing both functions and procedures together. This change aligns PostgreSQL's syntax with the SQL standard. In earlier releases, only the 'FUNCTIONS' keyword was allowed.",https://www.postgresql.org/docs/18/sql-alterdefaultprivileges.html
2,https://www.postgresql.org/docs/current/sql-abort.html,2025-10-16 15:49:19,success,,ABORT,PostgreSQL SQL Commands,SQL,,,ROLLBACK,Behavior Change,ABORT remains for historical reasons but is functionally identical to the standard SQL command ROLLBACK.,https://www.postgresql.org/docs/18/sql-abort.html
14,https://www.postgresql.org/docs/current/sql-altergroup.html,2025-10-16 15:49:29,success,,ALTER GROUP,PostgreSQL SQL Commands,SQL,PostgreSQL 18,,GRANT/REVOKE and ALTER ROLE,API Deprecation,"The functionality of ALTER GROUP has been generalized under the concept of roles, and similar operations can now be performed using GRANT/REVOKE or ALTER ROLE, which offer more flexibility and additional features.",https://www.postgresql.org/docs/18/sql-altergroup.html
15,https://www.postgresql.org/docs/current/sql-alterindex.html,2025-10-16 15:49:29,success,,ALTER INDEX,PostgreSQL,SQL,,,ALTER TABLE (only for operations applying to indexes),API Deprecation,Simplification and unification of commands by treating ALTER INDEX as an alias for certain ALTER TABLE commands. This also standardizes operations across index-related commands.,https://www.postgresql.org/docs/18/sql-alterindex.html
32,https://www.postgresql.org/docs/current/sql-altersubscription.html,2025-10-16 15:49:44,success,,ALTER SUBSCRIPTION,PostgreSQL,SQL,16,18.0,"ALTER SUBSCRIPTION ... SET (subscription_parameter = value [, ... ])",Parameter Change,The `ALTER SUBSCRIPTION ... REFRESH PUBLICATION` and `ALTER SUBSCRIPTION ... SET PUBLICATION` commands now include `two_phase` and `failover` properties for enhanced subscription management.,https://www.postgresql.org/docs/18/sql-alter-subscription.html
34,https://www.postgresql.org/docs/current/sql-altertable.html,2025-10-16 15:49:47,success,,ALTER TABLE,PostgreSQL,SQL,17,,,Behavior Change,"Modification of sub-commands for better handling of table rewrites, metadata updates, and constraints across parent-child relationships. This includes improved handling of default values, index updates, identity columns, and constraints validations.",https://www.postgresql.org/docs/18/sql-altertable.html
42,https://www.postgresql.org/docs/current/sql-alteruser.html,2025-10-16 15:49:55,success,,ALTER USER,PostgreSQL,SQL,18,,ALTER ROLE,API Deprecation,"Consolidation of functionality for user and role management, as users and roles are conceptually aligned under the 'ROLE' abstraction in PostgreSQL.",https://www.postgresql.org/docs/18/sql-alteruser.html
46,https://www.postgresql.org/docs/current/sql-begin.html,2025-10-16 15:49:56,success,,BEGIN,PostgreSQL API,SQL,,,START TRANSACTION,Behavior Change,"BEGIN was modified to align more closely with SQL standards as its functionality overlaps with START TRANSACTION. Both commands now offer equivalent functionality, reflecting PostgreSQL's effort to maintain compliance and improve consistency with the SQL-standard.",https://www.postgresql.org/docs/18/sql-begin.html
50,https://www.postgresql.org/docs/current/sql-cluster.html,2025-10-16 15:50:00,success,,CLUSTER,PostgreSQL,SQL,17,,,Behavior Change,"The syntax for the CLUSTER command was updated in PostgreSQL 18 to provide additional options and flexibility, replacing the simpler syntax used before PostgreSQL 17. This change ensures better compatibility for future developments and additional functionality.",https://www.postgresql.org/docs/current/sql-cluster.html
54,https://www.postgresql.org/docs/current/sql-copy.html,2025-10-16 15:50:03,success,,COPY,PostgreSQL,SQL,17,18.0,COPY (SELECT * FROM table_name) TO '/path_to_file',Behavior Change,"Improved compatibility and performance for advanced querying, such as copying rows from partitioned tables, inheritance child tables, or views.",https://www.postgresql.org/docs/18/sql-copy.html
