Statistic,Count
Total Unique Packages,80
Total Unique APIs,213
--- Package List ---,---
StringOps,
scala,
scala.Char,
scala.Console,
scala.Float,
scala.IArray,
scala.Int,
scala.Matchable,
scala.PolyFunction,
scala.Product15,
scala.Product7,
scala.Proxy,
scala.StringContext,
scala.Tuple3,
scala.annotation,
scala.annotation.meta,
scala.caps,
scala.collection,
scala.collection.BuildFrom,
scala.collection.IndexedSeqOps,
scala.collection.Iterable,
scala.collection.IterableOnce,
scala.collection.IterableOnceOps,
scala.collection.IterableOps,
scala.collection.MapOps,
scala.collection.Searching,
scala.collection.SeqOps,
scala.collection.SetOps,
scala.collection.SortedOps,
scala.collection.View,
scala.collection.convert,
scala.collection.generic,
scala.collection.immutable,
scala.collection.immutable.HashSet,
scala.collection.immutable.LongMap,
scala.collection.immutable.Queue,
scala.collection.immutable.SetOps,
scala.collection.immutable.Stream,
scala.collection.immutable.VectorBuilder,
scala.collection.mutable,
scala.collection.mutable.Buffer,
scala.collection.mutable.Growable,
scala.collection.mutable.LongMap,
scala.collection.mutable.Map,
scala.collection.mutable.MapOps,
scala.collection.mutable.SetOps,
scala.collection.mutable.Shrinkable,
scala.collection.mutable.UnrolledBuffer,
scala.compat.Platform,
scala.compiletime.ops.int,
scala.compiletime.ops.long,
scala.compiletime.ops.string,
scala.compiletime.testing,
scala.concurrent,
scala.concurrent.Future,
scala.concurrent.Promise,
scala.concurrent.duration,
scala.concurrent.duration.`package`,
scala.deriving,
scala.io,
scala.io.Source,
scala.io.StdIn,
scala.jdk,
scala.jdk.javaapi,
scala.jdk.javaapi.DurationConverters,
scala.languageFeature,
scala.math,
scala.math.Numeric,
scala.package,
scala.quoted,
scala.quoted.Quotes,
scala.reflect,
scala.runtime,
scala.runtime.BoxesRunTime,
scala.runtime.ScalaWholeNumberProxy,
scala.runtime.TupledFunctions,
scala.unsafeExceptions,
scala.util,
scala.util.boundary,
scala.util.control,
--- Change Type Counts ---,---
Change Type: None,121
Change Type: API Deprecation,84
Change Type: Experimental Feature,8
