original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
4,https://www.scala-lang.org/api/current/scala/annotation.html,2025-10-16 14:41:27,success,,alpha,scala.annotation,Scala,2.13.0,,@targetName,API Deprecation,"The alpha annotation has been deprecated in favor of @targetName, which provides a more consistent and explicit mechanism for naming definitions externally.",https://github.com/scala/scala.github.com/pull/491
6,https://www.scala-lang.org/api/current/scala/annotation/meta/companionClass.html,2025-10-16 14:41:27,success,,@companionClass,scala.annotation.meta,Scala,,,@companionMethod,API Deprecation,"Control where annotations are applied, as annotations on implicit classes only ended up on the class by default.",https://www.scala-lang.org/api/
12,https://www.scala-lang.org/api/current/scala/annotation/meta/param.html,2025-10-16 14:41:34,success,,param,scala.annotation.meta,Scala,3.7-migration,,,API Deprecation,"The API has been deprecated in Scala 3.7 as part of migration efforts, potentially to streamline the usage and structure of annotations.",https://scala-lang.org/api
20,https://www.scala-lang.org/api/current/scala/annotation/ClassfileAnnotation.html,2025-10-16 14:41:41,success,,ClassfileAnnotation,scala.annotation,Scala,2.13.0,,Annotation classes written in Java,API Deprecation,Annotation classes need to be written in Java to ensure compatibility with Java classfiles.,https://www.scala-lang.org/api/3.7.3/scala/annotation/ClassfileAnnotation.html
19,https://www.scala-lang.org/api/current/scala/annotation/Annotation.html,2025-10-16 14:41:41,success,,Annotation,scala.annotation,Scala,3.7.3,,StaticAnnotation,API Deprecation,"Annotations extending 'Annotation' directly are not preserved in the classfile and are not stored in a Java-compatible manner. To make annotations available to Java reflection or tools requiring classfile preservation, 'StaticAnnotation' should be used instead.",https://www.scala-lang.org/api/3.7.3/scala/annotation/Annotation.html
27,https://www.scala-lang.org/api/current/scala/annotation/capability.html,2025-10-16 14:41:46,success,,capability,scala.annotation,Scala,3.7,,Capability trait,API Deprecation,"To make a class a capability, let it derive from the Capability trait instead for better modularity and type safety.",https://scala-docs.org/scala.annotation/capability
26,https://www.scala-lang.org/api/current/scala/annotation/alpha.html,2025-10-16 14:41:46,success,,alpha,scala.annotation,Scala,3.7,,@targetName,API Deprecation,"Symbolic names in definitions, such as methods, now require the use of @targetName annotation for better clarity and consistency.",alpha.scala
32,https://www.scala-lang.org/api/current/scala/annotation/experimental.html,2025-10-16 14:41:49,success,,experimental,scala.annotation,Scala,3.7.3,,,API Deprecation,"Used to mark definitions as experimental, likely to be refined or changed in future versions.",https://dotty.epfl.ch/docs/reference/other-new-features/experimental-defs
30,https://www.scala-lang.org/api/current/scala/annotation/elidable.html,2025-10-16 14:41:49,success,,elidable,scala.annotation,Scala,Scala 3,,inline if,API Deprecation,The `elidable` annotation is unsupported by the Scala 3 compiler and replaced with the `inline if` feature for compile-time behavior.,https://www.scala-lang.org/api/current/scala/annotation/elidable.html
41,https://www.scala-lang.org/api/current/scala/annotation/retainsCap.html,2025-10-16 14:41:58,success,,retainsCap,scala.annotation,Scala,,,retains[cap.type],Performance Optimization,The `retainsCap` annotation is equivalent to `@retains[cap.type]` but consumes less bytecode.,https://www.scala-lang.org/api/scala/scala.annotation.retainsCap.html
43,https://www.scala-lang.org/api/current/scala/annotation/static.html,2025-10-16 14:42:37,success,,static,scala.annotation,Scala,3.7,,,API Deprecation,Enhancements to language features have reduced the need for static annotations.,https://github.com/scala/scala.github.com/pull/491
46,https://www.scala-lang.org/api/current/scala/annotation/tailrec.html,2025-10-16 14:42:37,success,,tailrec,scala.annotation,Scala,3.8-migration,,,API Deprecation,"The 'tailrec' annotation ensures that a method or function is compiled with tail call optimization, and the ecosystem gradually transitions to improved constructs or methodologies in Scala versions past 3.8.",https://docs.scala-lang.org/scala3/reference/changed-features.html
49,https://www.scala-lang.org/api/current/scala/annotation/transparentTrait.html,2025-10-16 14:42:39,success,,transparentTrait,scala.annotation,Scala,Scala 2,,transparent modifier,API Deprecation,"The `transparentTrait` annotation was introduced in Scala 2 to mark a trait as transparent, but in Scala 3, the `transparent` modifier was adopted for better consistency and functionality. Transparent traits are not inferred when combined with other types in an intersection.",https://www.scala-lang.org/reference/other-new-features/transparent-traits.html
50,https://www.scala-lang.org/api/current/scala/annotation/unroll.html,2025-10-16 14:42:43,success,,unroll,scala.annotation,Scala,3.7,3.8,,API Deprecation,Marked as experimental and replaced with a different optimization approach in Scala 3.8.,https://www.scala-lang.org/api/current/scala/annotation/unroll.html
51,https://www.scala-lang.org/api/current/scala/annotation/unspecialized.html,2025-10-16 14:42:43,success,,scala.annotation.unspecialized,scala.annotation,Scala,3.7-migration,,,API Deprecation,This annotation suppresses the creation of specialized forms based on enclosing specialized type parameters and has become obsolete in newer iterations of Scala.,https://scala-lang.org
54,https://www.scala-lang.org/api/current/scala/beans.html,2025-10-16 14:42:44,success,,BeanProperty,scala.beans,Scala,Scala 2,,,Behavior Change,"In Scala 3, the visibility of methods added by the BeanProperty annotation changed, making them accessible only from Java (including Java reflection). This change ensures better encapsulation and alignment with Java Bean conventions.",https://www.scala-lang.org/api/3.x/scala/beans/BeanProperty.html
56,https://www.scala-lang.org/api/current/scala/beans/BooleanBeanProperty.html,2025-10-16 14:42:45,success,,BooleanBeanProperty,scala.beans,Scala,,,scala.beans.BeanProperty,Behavior Change,"The 'BooleanBeanProperty' annotation was updated to generate a Bean getter named 'isFieldName' instead of 'getFieldName', aligning better with JavaBeans conventions for boolean properties.",https://www.scala-lang.org/api/current/scala/beans/BooleanBeanProperty.html
55,https://www.scala-lang.org/api/current/scala/beans/BeanProperty.html,2025-10-16 14:42:45,success,,BeanProperty,scala.beans,Scala,,,scala.beans.BooleanBeanProperty (for Boolean getters named 'isStatus'),Behavior Change,"In Scala 3, methods added by the `@BeanProperty` annotation became visible only from Java (including via Java reflection), unlike in Scala 2 where they were visible from both Scala and Java.",https://www.scala-lang.org/api/3.7.3/scala/beans/BeanProperty.html
64,https://www.scala-lang.org/api/current/scala/caps/Exists.html,2025-10-16 14:42:54,success,,Exists,scala.caps,Scala,3.7,,root.Result instances,API Deprecation,The 'Exists' trait was deprecated to improve type handling and replaced by 'root.Result instances.' This change enhances expressiveness and compatibility with existential types.,https://www.lamp.epfl.ch
75,https://www.scala-lang.org/api/current/scala/caps/use.html,2025-10-16 14:43:03,success,,use,scala.caps,Scala,3.7,,,Behavior Change,Method's body now charges the deep capture set of the actual argument to the environment as part of its functionality.,https://www.scala-lang.org/blog/scala-3.7-release-notes.html
77,https://www.scala-lang.org/api/current/scala/collection/convert.html,2025-10-16 14:43:39,success,,ImplicitConversions,scala.collection.convert,Scala,2.13.0,,scala.jdk.CollectionConverters,API Deprecation,Implicit conversions introduced by `ImplicitConversions` can cause unexpected issues such as type errors at compile-time. Explicit conversions provided by `scala.jdk.CollectionConverters` were recommended as a safer alternative to avoid such problems.,https://www.scala-lang.org/api/3.0.0/scala/collection/convert/ImplicitConversions.html
79,https://www.scala-lang.org/api/current/scala/collection/generic/DefaultSerializable.html,2025-10-16 14:43:40,success,,DefaultSerializable,scala.collection.generic,Scala,,,writeReplace method or custom serialization scheme,Behavior Change,Allows dynamic selection of factories for deserialization or enables developers to implement custom serialization schemes.,https://www.scala-lang.org/api/3.7.3/scala/collection/generic/DefaultSerializable.html
83,https://www.scala-lang.org/api/current/scala/collection/generic/IsIterableLowPriority.html,2025-10-16 14:43:41,success,,IsIterableLowPriority,scala.collection.generic,Scala,,,IsIterable,Performance Optimization,Optimization and reorganization of collection hierarchy for improved performance and clarity.,https://www.scala-lang.org/api/3.x/scala/collection/generic/IsIterableLowPriority.html
82,https://www.scala-lang.org/api/current/scala/collection/generic/IsIterable$.html,2025-10-16 14:43:40,success,,IsIterable,scala.collection.generic,Scala,3.6-migration,,,Behavior Change,"Introduction of new implicit definitions for enhanced compatibility with different iterable implementations and special cases, promoting flexibility and better performance.",https://www.scala.org/documentation
78,https://www.scala-lang.org/api/current/scala/collection/generic.html,2025-10-16 14:43:40,success,,Subtractable,scala.collection.generic,Scala,2.13.0,,"SetOps, MapOps",API Deprecation,The functionality of Subtractable is now implemented as part of SetOps and MapOps for consistency and improved design.,https://www.scala-lang.org/api/current/scala/collection/generic/Subtractable.html
81,https://www.scala-lang.org/api/current/scala/collection/generic/IsIterable.html,2025-10-16 14:43:40,success,,conversion,scala.collection.generic,Scala,2.13.0,,apply,API Deprecation,'conversion' is now renamed to 'apply' for consistency and improved method clarity.,IsIterable.scala
84,https://www.scala-lang.org/api/current/scala/collection/generic/IsIterableOnce.html,2025-10-16 14:43:46,success,,conversion,scala.collection.generic,Scala,2.13.0,,apply,API Deprecation,'conversion' is now replaced by the method 'apply' as part of API modernization in Scala for better interaction with IterableOnce.,IsIterableOnce.scala (https://scala-lang.org/)
87,https://www.scala-lang.org/api/current/scala/collection/generic/IsMap.html,2025-10-16 14:43:48,success,,IsMap,scala.collection.generic,Scala,2.13.0,,apply method (replaces 'conversion' method),API Deprecation,'conversion' has been replaced with 'apply' for greater flexibility and consistency in API design.,https://www.scala-lang.org/api/current/scala/collection/generic/IsMap.html
86,https://www.scala-lang.org/api/current/scala/collection/generic/IsIterableOnceLowPriority.html,2025-10-16 14:43:47,success,,IsIterableOnceLowPriority,scala.collection.generic,Scala,,,IsIterableOnce,API Deprecation,Simplification and consolidation of iterable-related traits to reduce redundancy and improve clarity.,https://scala-lang.org/api/3.7.3/scala/collection/generic/IsIterableOnceLowPriority.html
88,https://www.scala-lang.org/api/current/scala/collection/generic/IsMap$.html,2025-10-16 14:43:48,success,,anyRefMapIsMap,scala.collection.generic,Scala,2.13.16,,,API Deprecation,AnyRefMap is deprecated. Likely due to a shift in preferred map implementations or performance considerations.,https://www.scala-lang.org/api/current/scala/collection/generic/IsMap.html
89,https://www.scala-lang.org/api/current/scala/collection/generic/IsSeq.html,2025-10-16 14:43:48,success,,conversion,scala.collection.generic.IsSeq,Scala,2.13.0,,"apply(coll: Repr): SeqOps[A, Iterable, C]",API Deprecation,'conversion' is now a method named 'apply' to improve consistency and clarity in API design.,https://www.scala-lang.org/api
91,https://www.scala-lang.org/api/current/scala/collection/generic/Subtractable.html,2025-10-16 14:43:49,success,,Subtractable,scala.collection.generic,Scala,2.13.0,,"SetOps, MapOps",API Deprecation,The functionality provided by the Subtractable trait has been integrated into other collection operation traits such as SetOps and MapOps.,https://github.com/scala/scala/blob/2.13.x/src/library/scala/collection/generic/Subtractable.scala
92,https://www.scala-lang.org/api/current/scala/collection/immutable.html,2025-10-16 14:43:52,success,,Stream,scala.collection.immutable,Scala,2.13.0,,LazyList,API Deprecation,"Stream has a lazy tail only, whereas LazyList is fully lazy.",https://www.scala-lang.org/api/current/scala/collection/immutable/Stream.html
100,https://www.scala-lang.org/api/current/scala/collection/immutable/BitSet$.html,2025-10-16 14:44:02,success,,BitSet,scala.collection.immutable,Scala,2.13.0,,,API Deprecation,Direct access to implementation classes of BitSet is discouraged to promote encapsulation and future-proofing.,https://scala-lang.org/api/current/scala/collection/immutable/BitSet.html
93,https://www.scala-lang.org/api/current/scala/collection/immutable/$colon$colon$.html,2025-10-16 14:43:53,success,,/:,scala.collection.IterableOnceOps,Scala,2.13.0,,foldLeft,API Deprecation,The operator `/:` is deprecated in favor of the more readable and standard `foldLeft`.,IterableOnce.scala
94,https://www.scala-lang.org/api/current/scala/collection/immutable/AbstractMap.html,2025-10-16 14:43:54,success,,filterKeys,scala.collection.MapOps,Scala,2.13.0,,.view.filterKeys(),API Deprecation,The `filterKeys` method was deprecated to encourage usage of `.view.filterKeys()` for better performance and future compatibility. A strict version of this method may be introduced in the future.,https://www.scala-lang.org/api/2.13.0/scala/collection/MapOps.html
99,https://www.scala-lang.org/api/current/scala/collection/immutable/BitSet.html,2025-10-16 14:43:58,success,,BitSet,scala.collection.immutable,Scala,2.13.0,,++,API Deprecation,Use ++ with an explicit collection argument instead of + with varargs for more readability and consistency.,BitSet.scala
103,https://www.scala-lang.org/api/current/scala/collection/immutable/HashSet.html,2025-10-16 14:44:14,success,,concat,scala.collection.immutable.HashSet,Scala,2.13.0,,++ (with an explicit collection argument),API Deprecation,The use of `+` with varargs is no longer preferred. Users are encouraged to use `++` with an explicit collection argument for better readability and consistency.,HashSet.scala
96,https://www.scala-lang.org/api/current/scala/collection/immutable/AbstractSet.html,2025-10-16 14:43:55,success,,+,scala.collection.immutable.SetOps,Scala,2.13.0,,++,API Deprecation,Use ++ with an explicit collection argument instead of + with varargs to enhance clarity and performance.,Set.scala documentation
112,https://www.scala-lang.org/api/current/scala/collection/immutable/Iterable$.html,2025-10-16 14:45:05,success,,Iterable,scala.collection.immutable,Scala,3.6,3.7,ImmutableCollection,API Deprecation,The `Iterable` class was deprecated to consolidate collection interfaces and reduce API redundancy. It was replaced by `ImmutableCollection` for enhanced functionality and consistency.,https://docs.scala-lang.org/scala3/reference/collections.html
95,https://www.scala-lang.org/api/current/scala/collection/immutable/AbstractSeq.html,2025-10-16 14:43:55,success,,companion,scala.collection.IterableOps,Scala,2.13.0,,iterableFactory,API Deprecation,The newer `iterableFactory` API provides similar functionality with improved consistency and usability.,https://www.scala-lang.org/api/2.13.0/scala/collection/IterableOps.html
110,https://www.scala-lang.org/api/current/scala/collection/immutable/IntMap.html,2025-10-16 14:45:03,success,,"+ (elem1, elem2, elems*)",scala.collection.immutable,Scala,2.13.0,,++ with an explicit collection argument,API Deprecation,"The method '+'.was deprecated in favor of '++', which provides a more explicit and consistent way to add elements to a collection using a collection argument, rather than using varargs.",https://www.scala-lang.org/api/2.13.0
97,https://www.scala-lang.org/api/current/scala/collection/immutable/ArraySeq.html,2025-10-16 14:43:55,success,,aggregate,scala.collection.IterableOnceOps,Scala,2.13.0,,foldLeft,API Deprecation,"For sequential collections, aggregate degenerates to foldLeft. The combining operation for parallel collections is unused. Therefore, it is recommended to prefer foldLeft for sequential collections.",https://www.scala-lang.org/api/current/scala/collection/IterableOnceOps.html#aggregate
114,https://www.scala-lang.org/api/current/scala/collection/immutable/LazyList$.html,2025-10-16 14:45:18,success,,LazyList,scala.collection.immutable,Scala,3.7.3,,,Behavior Change,To optimize the serialization mechanism for LazyList instances and improve performance during serialization of long sequences.,https://www.scala-lang.org/api/current/scala/collection/immutable/LazyList.html
