original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
3,https://v17.angular.io/api/animations/animateChild,2025-10-21 19:46:57,success,,animateChild,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/animateChild
5,https://v17.angular.io/api/animations/AnimateTimings,2025-10-21 19:46:57,success,,AnimateTimings,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimateTimings
6,https://v17.angular.io/api/animations/animation,2025-10-21 19:46:57,success,,animation,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/animation
2,https://v17.angular.io/api/animations/animate,2025-10-21 19:46:57,success,,animate,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/animate
7,https://v17.angular.io/api/animations/AnimationAnimateChildMetadata,2025-10-21 19:46:57,success,,AnimationAnimateChildMetadata,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationAnimateChildMetadata
4,https://v17.angular.io/api/animations/AnimateChildOptions,2025-10-21 19:46:57,success,,AnimateChildOptions,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimateChildOptions
8,https://v17.angular.io/api/animations/AnimationAnimateMetadata,2025-10-21 19:46:58,success,,AnimationAnimateMetadata,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationAnimateMetadata
10,https://v17.angular.io/api/animations/AnimationBuilder,2025-10-21 19:46:58,success,,AnimationBuilder,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationBuilder
13,https://v17.angular.io/api/animations/AnimationGroupMetadata,2025-10-21 19:46:58,success,,AnimationGroupMetadata,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationGroupMetadata
9,https://v17.angular.io/api/animations/AnimationAnimateRefMetadata,2025-10-21 19:46:58,success,,AnimationAnimateRefMetadata,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationAnimateRefMetadata
11,https://v17.angular.io/api/animations/AnimationEvent,2025-10-21 19:46:58,success,,AnimationEvent,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationEvent
12,https://v17.angular.io/api/animations/AnimationFactory,2025-10-21 19:46:58,success,,AnimationFactory,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationFactory
16,https://v17.angular.io/api/animations/AnimationMetadataType,2025-10-21 19:46:59,success,,AnimationMetadataType,@angular/animations,TypeScript,,,,API Documentation,"// Note this is a customised version of the GA tracking snippet
    // See the comments below for more info
    (function (i, s, o, g, r, a, m) {
      if (i.trustedTypes) {
        // Specify path as a TrustedScriptURL when Trusted Types are available
        g = i.trustedTypes.createPolicy('aio#analytics', {
          createScriptURL: function (s) { return s; }
        }).createScriptURL(g);
      }
      i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
        (i[r].q = i[r].q || ...",https://v17.angular.io/api/animations/AnimationMetadataType
