original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
2,https://rxjs.dev/api/index/const/animationFrame,2025-11-03 19:27:32,success,,,RxJS,JavaScript,,,,,,
7,https://rxjs.dev/api/index/const/asapScheduler,2025-11-03 19:27:32,success,,,RxJS,JavaScript,,,,,,
6,https://rxjs.dev/api/index/const/asap,2025-11-03 19:27:32,success,,,,,,,,,,
8,https://rxjs.dev/api/index/const/async,2025-11-03 19:27:32,success,,,RxJS,JavaScript,,,,,,
9,https://rxjs.dev/api/index/const/asyncScheduler,2025-11-03 19:27:32,success,,,RxJS,JavaScript,,,,,,
4,https://rxjs.dev/api/index/const/animationFrameScheduler,2025-11-03 19:27:32,success,,,rxjs,JavaScript,,,,,,https://rxjs.dev
5,https://rxjs.dev/api/index/interface/ArgumentOutOfRangeError,2025-11-03 19:27:32,success,,,RxJS,JavaScript,,,,,,
3,https://rxjs.dev/api/index/function/animationFrames,2025-11-03 19:27:32,success,,,RxJS,JavaScript,,,,,,
14,https://rxjs.dev/api/index/class/BehaviorSubject,2025-11-03 19:27:36,success,,,RxJS,JavaScript,,,,,,
16,https://rxjs.dev/api/index/function/bindNodeCallback,2025-11-03 19:27:36,success,,,,,,,,,,
13,https://rxjs.dev/api/index/interface/BasicGroupByOptions,2025-11-03 19:27:36,success,,,,JavaScript,,,,,,
12,https://rxjs.dev/api/index/function/auditTime,2025-11-03 19:27:36,success,,,,JavaScript,,,,,,
15,https://rxjs.dev/api/index/function/bindCallback,2025-11-03 19:27:36,success,,,RxJS,JavaScript,,,,,,
11,https://rxjs.dev/api/index/function/audit,2025-11-03 19:27:36,success,,,RxJS,JavaScript,,,,,,
10,https://rxjs.dev/api/index/class/AsyncSubject,2025-11-03 19:27:36,success,,,RxJS,JavaScript,,,,,,
17,https://rxjs.dev/api/index/function/buffer,2025-11-03 19:27:37,success,,,RxJS,JavaScript,,,,,,
18,https://rxjs.dev/api/index/function/bufferCount,2025-11-03 19:27:38,success,,,RxJS,JavaScript,,,,,,
20,https://rxjs.dev/api/index/function/bufferToggle,2025-11-03 19:27:38,success,,,RxJS,JavaScript,,,,,,
19,https://rxjs.dev/api/index/function/bufferTime,2025-11-03 19:27:38,success,,,rxjs,javascript,,,,,,
24,https://rxjs.dev/api/index/function/combineLatest,2025-11-03 19:27:38,success,,,,,,,,,,
22,https://rxjs.dev/api/index/function/catchError,2025-11-03 19:27:38,success,,,RxJS,JavaScript,,,,,,https://rxjs.dev
23,https://rxjs.dev/api/index/const/combineAll,2025-11-03 19:27:38,success,,,RxJS,JavaScript,,,,,,
21,https://rxjs.dev/api/index/function/bufferWhen,2025-11-03 19:27:38,success,,,RxJS,JavaScript,,,,,,
25,https://rxjs.dev/api/index/function/combineLatestAll,2025-11-03 19:27:39,success,,RxJS,RxJS,JavaScript,,,,,,https://rxjs.dev/
26,https://rxjs.dev/api/index/function/combineLatestWith,2025-11-03 19:27:40,success,,,RxJS,JavaScript,,,,,,
27,https://rxjs.dev/api/index/interface/CompleteNotification,2025-11-03 19:27:40,success,,,rxjs,javascript,,,,,,
28,https://rxjs.dev/api/index/interface/CompletionObserver,2025-11-03 19:27:40,success,,,,,,,,,,
30,https://rxjs.dev/api/index/function/concatAll,2025-11-03 19:27:40,success,,,RxJS,JavaScript,,,,,,
29,https://rxjs.dev/api/index/function/concat,2025-11-03 19:27:40,success,,,RxJS,JavaScript,,,,,,
31,https://rxjs.dev/api/index/function/concatMap,2025-11-03 19:27:40,success,,,,,,,,,,
32,https://rxjs.dev/api/index/function/concatMapTo,2025-11-03 19:27:41,success,,,RxJS,JavaScript,,,,,,
33,https://rxjs.dev/api/index/function/concatWith,2025-11-03 19:27:41,success,,,RxJS,JavaScript,,,,,,
34,https://rxjs.dev/api/index/const/config,2025-11-03 19:27:42,success,,,,,,,,,,
