original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
21,https://www.typescriptlang.org/docs/handbook/decorators.html#decorator-factories,2025-11-03 19:15:36,success,,Decorators,TypeScript,TypeScript,TypeScript 4.9,,Stage 3 Decorators,API Deprecation,"The decorators syntax used in experimental stage 2 has been replaced with the newer Stage 3 implementation, offering improved standardization and alignment with the upcoming ECMAScript standard.",https://www.typescriptlang.org/docs/whats-new
22,https://www.typescriptlang.org/docs/handbook/decorators.html#decorator-composition,2025-11-03 19:15:37,success,,Decorators,typescript,TypeScript,5.0,,Stage 3 Decorators,API Deprecation,Aligning with ECMAScript standards and offering more robust support for decorators at Stage 3 specification.,https://www.typescriptlang.org/docs/handbook/decorators.html
20,https://www.typescriptlang.org/docs/handbook/decorators.html#decorators,2025-11-03 19:15:36,success,,Decorators,TypeScript,TypeScript,4.9,,Stage 3 decorators,API Deprecation,"Stage 2 decorators were experimental and replaced with Stage 3 decorators, which offer more reliable and standardized functionality.",https://www.typescriptlang.org/docs/handbook/decorators.html
23,https://www.typescriptlang.org/docs/handbook/decorators.html#decorator-evaluation,2025-11-03 19:15:37,success,,Decorators,TypeScript Core,TypeScript,,,Stage 3 decorators,Behavior Change,Aligning TypeScript decorators with the ECMAScript standard and enhancing compatibility with future JavaScript implementations.,https://www.typescriptlang.org/docs/handbook/decorators.html
24,https://www.typescriptlang.org/docs/handbook/decorators.html#class-decorators,2025-11-03 19:15:39,success,,@experimentalDecorators,typescript,TypeScript,,,@decorators (stage 3 implementation),API Deprecation,"Stage 3 decorators provide a more robust and standardized implementation, aligning with the ECMAScript specification.",https://www.typescriptlang.org/docs/whats-new-in-typescript-5-0.html
25,https://www.typescriptlang.org/docs/handbook/decorators.html#method-decorators,2025-11-03 19:15:39,success,,Decorators,TypeScript,TypeScript,4.x (experimental stage 2 implementation only),5.0 (for stage 2 decorators),Stage 3 decorators,Behavior Change,Aligning with ECMAScript standards and improving consistency and usability of decorator syntax and behavior.,https://www.typescriptlang.org/docs/handbook/decorators.html
27,https://www.typescriptlang.org/docs/handbook/decorators.html#property-decorators,2025-11-03 19:15:40,success,,decorators,typescript,TypeScript,,,Stage 3 decorators,Behavior Change,TypeScript updated decorators to align with ECMAScript standard and introduced Stage 3 decorators to provide enhanced capabilities.,https://www.typescriptlang.org/docs/handbook/decorators.html
26,https://www.typescriptlang.org/docs/handbook/decorators.html#accessor-decorators,2025-11-03 19:15:40,success,,Decorators,TypeScript,TypeScript,TypeScript 5.0 (Stage 2 decorators),,Stage 3 decorators (finalized implementation),API Deprecation,The decorators API transitioned to a standardized implementation aligned with the ECMAScript proposal to reflect more stable behavior and address issues with the experimental Stage 2 specifications.,https://www.typescriptlang.org/docs/handbook/decorators.html
28,https://www.typescriptlang.org/docs/handbook/decorators.html#parameter-decorators,2025-11-03 19:15:42,success,,Decorators,TypeScript,TypeScript,4.x,5.0,Stage 3 decorators,API Deprecation,Transition to the ECMAScript standard implementation and improvement of functionality by adopting Stage 3 decorations.,https://www.typescriptlang.org/docs/handbook/decorators.html
36,https://www.typescriptlang.org/docs/handbook/enums.html#numeric-enums,2025-11-03 19:15:46,success,,Enums,TypeScript,TypeScript,,,Objects with `as const`,Behavior Change,Aligning TypeScript with the state of JavaScript. Enums are not officially part of JavaScript yet and are replaced by objects with `as const` for better compatibility and runtime behavior.,https://www.typescriptlang.org/docs/handbook/enums.html
38,https://www.typescriptlang.org/docs/handbook/enums.html#heterogeneous-enums,2025-11-03 19:15:47,success,,Enums,TypeScript,TypeScript,,,Objects with `as const`,Behavior Change,To align TypeScript syntax more closely with modern JavaScript practices and allow easier transition when enums are added to JavaScript syntax.,https://www.typescriptlang.org/docs/handbook/enums.html
39,https://www.typescriptlang.org/docs/handbook/enums.html#computed-and-constant-members,2025-11-03 19:15:48,success,,Enums,TypeScript,TypeScript,,,Objects with `as const` pattern,Behavior Change,To align with future potential JavaScript standards and enhance compatibility while reducing potential pitfalls tied to enum functionalities.,https://www.typescriptlang.org/docs/enums.html
47,https://www.typescriptlang.org/docs/handbook/iterators-and-generators.html#forof-vs-forin-statements,2025-11-03 19:15:52,success,,for..of loops on non-Array iterable values,TypeScript,TypeScript,TypeScript 1.4,TypeScript 2.0,Native ECMAScript iterable implementation in ES2015,API Deprecation,"Targeting ES5-compliant engines restricted iterators to Array values only, creating restrictions incompatible with future ECMAScript standards and broader iterable implementations.",https://www.typescriptlang.org/docs
49,https://www.typescriptlang.org/docs/handbook/jsx.html#the-jsx-namespace,2025-11-03 19:15:53,success,,jsxFactory,typescript,TypeScript,5.1,,jsxImportSource,API Deprecation,The jsxFactory option was deprecated in favor of jsxImportSource due to the introduction of updated JSX runtimes (react-jsx and react-jsxdev) that provide clearer handling and configuration.,https://www.typescriptlang.org/docs/handbook/jsx.html
53,https://www.typescriptlang.org/docs/handbook/jsx.html#basic-usage,2025-11-03 19:15:55,success,,JSX.ElementChildrenAttribute,TypeScript,TypeScript,5.0,,,Behavior Change,Updated behavior for type checking JSX children for better alignment with runtime behavior and to prevent inconsistencies in JSX expressions.,https://www.typescriptlang.org/docs/jsx
54,https://www.typescriptlang.org/docs/handbook/jsx.html#the-as-operator,2025-11-03 19:15:56,success,,JSX.ElementType,TypeScript,TypeScript,5.0,,,Behavior Change,Align JSX element return types more closely with runtime behavior and provide users with greater flexibility in specifying valid JSX component types.,https://www.typescriptlang.org/docs/handbook/jsx.html
56,https://www.typescriptlang.org/docs/handbook/jsx.html#the-jsx-result-type,2025-11-03 19:15:58,success,,JSX.Element,TypeScript,TypeScript,TypeScript 5.1,,JSX.ElementType,API Deprecation,"The previous implementation did not accurately represent runtime behavior, leading to inconsistencies between defined types and actual behavior. JSX.ElementType provides better extensibility and aligns with runtime behavior.",https://www.typescriptlang.org/docs/handbook/jsx.html#jsx-function-return-type
58,https://www.typescriptlang.org/docs/handbook/jsx.html#embedding-expressions,2025-11-03 19:15:58,success,,React.createElement,React,TypeScript,TypeScript 5.1,,_jsx,API Deprecation,Simplification and alignment with React's automatic runtime for JSX processing,https://www.typescriptlang.org/docs/handbook/jsx.html
59,https://www.typescriptlang.org/docs/handbook/jsx.html#react-integration,2025-11-03 19:15:58,success,,JSX.ElementType,TypeScript,TypeScript,5.1,,Updated JSX.ElementType definition,Behavior Change,To better align the type of function components with runtime behavior and allow flexibility in JSX usage.,https://www.typescriptlang.org/docs/handbook/jsx.html
73,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-types-,2025-11-03 19:16:36,success,,/// <amd-dependency />,typescript,JavaScript/TypeScript,TypeScript 5.5,,import statements,API Deprecation,"The AMD dependency directive was deprecated to encourage modern ES module-based workflows, which are widely adopted over legacy AMD module practices.",https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#amd-dependency
72,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-path-,2025-11-03 19:16:36,success,,// <amd-dependency />,,TypeScript,5.5,,"import statements (e.g., import 'moduleName';)",API Deprecation,To simplify syntax and reduce reliance on legacy AMD mechanisms.,https://www.typescriptlang.org/docs/
74,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-lib-,2025-11-03 19:16:36,success,,/// <amd-dependency />,,TypeScript,5.5,,import statements,API Deprecation,The use of `import` statements is preferred for modularization and ensures compatibility with modern module resolution practices.,https://www.typescriptlang.org/docs/
75,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-no-default-libtrue,2025-11-03 19:16:37,success,,/// <amd-dependency />,TypeScript,TypeScript,5.5,,"import statements (e.g., 'import ""moduleName"";')",API Deprecation,"The directive was replaced by ES6 import statements, which offer better module management and standardization.",https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
76,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-amd-module-,2025-11-03 19:16:37,success,,/// <amd-dependency />,,TypeScript,5.5,,import 'moduleName';,API Deprecation,The directive was deprecated in favor of ES6 module imports which offer consistent and modern syntax.,https://www.typescriptlang.org/docs/triple-slash-directives.html
77,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-amd-dependency-,2025-11-03 19:16:38,success,,/// <amd-dependency />,,TypeScript,TypeScript 5.5,,"import ""moduleName""",API Deprecation,The directive has been replaced with standard ES module imports for better consistency with modern JavaScript standards.,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#amd-dependency
78,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#preservetrue,2025-11-03 19:16:40,success,,amd-dependency directive,TypeScript,TypeScript,5.5,,import statements,API Deprecation,"The `amd-dependency` directive was deprecated to encourage the use of `import` statements, which provide a more standardized and flexible way of handling module dependencies.",https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
79,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-path-,2025-11-03 19:16:40,success,,amd-dependency,TypeScript Compiler,TypeScript,TypeScript 5.5,,import statements,API Deprecation,The amd-dependency directive was considered obsolete and replaced with standard ES module import syntax for better compatibility and modern practices.,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
80,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-types-,2025-11-03 19:16:40,success,,Triple-Slash Directive: /// <amd-dependency />,,TypeScript,5.5,,import statement,API Deprecation,Modern JavaScript module resolution and dependency handling have shifted towards using import statements for consistency and improved tooling support.,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
81,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-lib-,2025-11-03 19:16:41,success,,/// <amd-dependency />,AMD,TypeScript,TypeScript 5.0,,import 'moduleName';,API Deprecation,"Directives like /// <amd-dependency /> have been deprecated in favor of standard ES module syntax (import statements), allowing for better compatibility and maintainability.",https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
82,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-reference-no-default-libtrue,2025-11-03 19:16:41,success,,/// <amd-dependency />,TypeScript,TypeScript,TypeScript 5.4,,import 'moduleName';,API Deprecation,The directive was replaced with standard module imports to streamline functionality and align with modern programming practices.,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
83,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-amd-module-,2025-11-03 19:16:41,success,,/// <amd-dependency />,TypeScript,TypeScript,5.5,,"""import"" statements",API Deprecation,"The directive was replaced in favor of standard ES module imports, which are more universally implemented and understood.",https://www.typescriptlang.org/docs/triple-slash-directives.html
84,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#-amd-dependency-,2025-11-03 19:16:41,success,,/// <amd-dependency />,TypeScript,TypeScript,Not explicitly stated,,import 'moduleName';,API Deprecation,"The directive is superseded by ES6 module import syntax, which provides better functionality and modern script compatibility.",https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
85,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html#preservetrue,2025-11-03 19:16:43,success,,/// <amd-dependency /> directive,TypeScript,TypeScript,5.5,,import statements,API Deprecation,The directive is no longer necessary; standard import statements provide better functionality and are the preferred approach.,https://www.typescriptlang.org/docs/handbook/triple-slash-directives.html
87,https://www.typescriptlang.org/docs/handbook/modules/reference.html#type-only-imports-and-exports,2025-11-03 19:16:44,success,,moduleResolution,typescript,TypeScript,5.0,,"node16, nodenext",API Deprecation,Renamed and updated functionality to reflect the latest CommonJS and ECMAScript module resolution behaviors in Node.js v12 or later.,https://www.typescriptlang.org/docs/handbook/module-resolution.html
90,https://www.typescriptlang.org/docs/handbook/modules/reference.html#node16-node18-node20-nodenext,2025-11-03 19:16:45,success,,TypeScript module configuration options,TypeScript compiler,TypeScript,5.0,,"node16, nodenext",API Deprecation,"Reflect compatibility improvements necessary for Node.js versions 12+ with dual-format module systems, as well as providing more accurate type checks for ES modules and CommonJS interoperability.",https://www.typescriptlang.org/docs/handbook/module-resolution.html
89,https://www.typescriptlang.org/docs/handbook/modules/reference.html#export--and-import--require,2025-11-03 19:16:45,success,,moduleResolution,TypeScript,TypeScript,5.0,,"node16, nodenext",API Deprecation,The `classic` and `node10` moduleResolution settings are outdated and insufficiently support modern Node.js module resolution features such as ESM and advanced package.json fields like `exports` and `imports`.,https://www.typescriptlang.org/docs/handbook/module-resolution.html
94,https://www.typescriptlang.org/docs/handbook/modules/reference.html#system,2025-11-03 19:16:49,success,,import type,TypeScript,TypeScript,TypeScript 5.4,,,Parameter Change,Added explicit elision rules for type-only imports and exports for enhanced clarity.,https://www.typescriptlang.org/docs/handbook/modules.html
96,https://www.typescriptlang.org/docs/handbook/modules/reference.html#umd,2025-11-03 19:16:51,success,,Type-only imports and exports,TypeScript,TypeScript,TypeScript 5.3,,,Behavior Change,Introduced to make the elision of import declarations more explicit and improve clarity.,https://www.typescriptlang.org/docs/handbook/modules.html#type-only-imports-and-exports
98,https://www.typescriptlang.org/docs/handbook/modules/reference.html#node16-nodenext,2025-11-03 19:16:52,success,,moduleResolution compilation option,typescript,typescript,TypeScript 5.0,,"node10, nodenext, node16",API Deprecation,"The classic and node resolution options were outdated and superseded by more modern options reflecting Node.js v12+ behavior, including node16, nodenext, and node10.",https://www.typescriptlang.org/docs/handbook/modules.html
99,https://www.typescriptlang.org/docs/handbook/modules/reference.html#bundler,2025-11-03 19:16:54,success,,node16,TypeScript,TypeScript,,,nodenext,API Deprecation,"Node.js v12 introduced significant updates to the module resolution behavior, making `node16` and `nodenext` better suited for modern projects.",https://www.typescriptlang.org/docs/handbook/module-resolution.html
97,https://www.typescriptlang.org/docs/handbook/modules/reference.html#common-features-and-processes,2025-11-03 19:16:51,success,,,TypeScript,TypeScript,TypeScript 4.7,,package.json 'exports',API Deprecation,"Node.js introduced 'exports' to offer a more robust and secure module resolution mechanism, replacing legacy features like package-relative paths and directory modules.",https://www.typescriptlang.org/docs/handbook/modules.html
101,https://www.typescriptlang.org/docs/handbook/modules/reference.html#classic,2025-11-03 19:16:58,success,,moduleResolution,TypeScript,JavaScript/TypeScript,TypeScript 5.0,,"node16, nodenext",API Deprecation,The `classic` resolution mode is outdated and lacks support for modern module resolution features such as `package.json exports`.,https://www.typescriptlang.org/docs/handbook/modules.html
